invoiceNumber,organizationId,invoiceId,customerId,accountId,exchangeRate,dueDate,PaymentTermsCode,distributionChanel,totalAmount,totalAmountBase,totalTax,totalTaxBase,transactionCurrencyId,invoiceDate,postingDate,correctedInvoiceId,correctionDate,salesChannel 
216,489,76,294,78,72,2017/09/24,3,Welder,78,78,78,39,622,2015/03/27,2016/06/17,3,0,a5418f7e-af0a-405e-9b42-cfdc947474fe
578,200,192,525,945,8,2016/08/09,8,Plumber,24,24,24,36,926,2018/08/17,2017/01/15,8,0,0768c286-2ecd-4850-8d7f-326565650d07
640,939,702,905,836,32,2018/05/23,2,Painter,73,73,73,27,577,2017/10/13,2017/01/10,2,0,b4db7586-d5d2-42fd-92bf-2f4045e54f8e
143,608,206,129,660,49,2017/02/08,7,Pipefitter,43,43,43,26,891,2018/06/09,2015/05/14,7,1,fc6d42ce-ff37-4176-ac42-213abc0db492
757,486,360,626,288,33,2016/08/06,3,Boilermaker,26,26,26,26,393,2016/04/03,2018/08/04,3,1,301054bb-3a5d-44cc-87a5-084d369b195c
364,684,722,110,878,77,2018/04/15,5,Millwright,32,32,32,1,60,2017/01/05,2016/10/31,5,1,98b15449-30e7-445f-ab95-c6bdbbe96294
760,794,8,989,251,97,2017/04/01,5,Tile Setter,68,68,68,32,767,2018/06/11,2015/08/02,5,1,4d945d88-c9eb-434b-a318-a637db432504
299,736,826,569,450,9,2016/09/14,3,Laborer,93,93,93,18,791,2017/11/18,2015/05/25,3,1,0c589a85-0469-4b48-ad8a-29bb9f97af9d
118,130,112,661,212,50,2018/05/10,7,Landscaper,49,49,49,18,145,2015/08/26,2017/10/13,7,0,d531561a-a658-4bf7-bef2-42e81b1652c1
173,507,172,789,856,14,2017/03/07,3,Terrazzo,17,17,17,14,734,2015/08/07,2016/02/04,3,1,bfade5dd-2769-4c35-a760-401e6fb84d23
765,691,995,843,810,57,2017/09/06,4,Brickmason,17,17,17,16,78,2018/03/12,2018/05/17,4,1,0e0a8e8d-9064-473e-a202-a57e5f18b90e
160,97,524,139,230,10,2017/05/31,0,Tile Setter,81,81,81,18,665,2016/06/03,2017/03/11,0,1,88fbbef4-35d6-435d-9e32-f844ac5fb547
708,715,722,931,637,73,2017/06/14,0,Welder,19,19,19,42,992,2015/01/21,2018/05/10,0,1,8c6511e2-4a29-4a01-8ffe-ac4080c21f20
26,40,905,784,187,89,2018/08/31,7,Linemen,12,12,12,11,480,2015/10/07,2018/03/08,7,0,6e041ec9-90c4-4fb4-8d02-40e941581ce0
729,576,201,215,999,40,2016/02/15,5,Electrician,21,21,21,20,985,2017/05/30,2015/04/17,5,1,75d3f006-c842-4db9-8714-e071e23b4eea
54,510,160,452,356,65,2017/06/17,5,Safety Officer,49,49,49,21,346,2017/10/11,2015/02/13,5,0,b9c8052c-1820-4412-ab73-d96173a609c8
930,372,996,375,929,17,2017/11/05,4,Waterproofer,48,48,48,2,728,2016/05/23,2016/12/24,4,0,191ed93a-e244-4f2c-a760-904851223e81
963,402,522,15,201,77,2016/12/07,6,Plumber,28,28,28,4,589,2016/12/11,2018/07/20,6,0,28ab6ab4-604d-4446-bfe4-1dd6c0f86aac
407,82,196,657,251,44,2017/06/29,2,Equipment Operator,16,16,16,15,918,2016/01/19,2018/07/30,2,0,8327a86e-4c4f-48af-a9f6-6238524e9f66
801,994,853,389,314,81,2016/06/01,7,Electrician,16,16,16,29,266,2015/01/22,2015/11/27,7,0,abaed11c-271b-4032-8ff1-fc9058278d38
909,758,194,162,614,17,2018/07/13,9,Refridgeration,93,93,93,23,406,2016/11/27,2015/02/06,9,0,06334a0a-db5f-4a92-97ba-871adfe501ee
826,149,684,264,460,41,2018/07/21,5,Equipment Operator,97,97,97,44,722,2016/11/01,2015/07/15,5,1,4cf955af-1d2a-4c23-aa57-c909233d33ea
732,889,617,364,479,82,2016/11/26,3,Plasterers,1,1,1,49,397,2015/02/20,2015/12/05,3,0,a2a016cb-9e10-4b0c-881a-1a3546a3fd9b
617,597,164,770,792,89,2017/06/02,3,Carpenter,54,54,54,15,888,2015/03/23,2015/04/06,3,1,aec38d30-82bd-4d6d-b931-018869e129e2
479,213,23,198,188,4,2017/02/22,7,Landscaper,58,58,58,48,115,2018/04/01,2015/11/16,7,0,8025ef7d-2a0c-4311-9ad1-013508398107
16,456,336,24,658,92,2017/09/16,9,Glazier,6,6,6,44,108,2018/07/17,2015/01/01,9,0,e3dc5a83-826d-43c2-b008-63ce673f9a23
888,140,671,580,230,8,2018/01/23,0,Cement Mason,87,87,87,5,543,2017/04/04,2016/02/28,0,0,cbc0b975-efee-4ab6-aebb-635fc6ffbad3
898,444,281,246,521,42,2018/12/05,8,Welder,96,96,96,8,838,2017/11/10,2015/04/19,8,1,05837197-c436-436d-981d-611ac53eff56
162,357,539,508,941,7,2018/10/16,9,Carpenter,66,66,66,24,341,2016/07/31,2015/11/05,9,1,9c255a1d-09dd-4af3-a5db-86bc41c053e4
964,269,922,243,266,84,2018/07/30,9,Glazier,55,55,55,34,392,2015/08/17,2018/06/27,9,1,8477b4a4-8f63-4492-8adc-f98e8094535c
610,574,505,356,126,97,2018/06/15,6,Millwright,53,53,53,2,61,2017/09/04,2016/10/03,6,1,951624d9-1131-4260-b59c-665ff6a286a1
220,588,25,833,392,59,2017/06/21,0,Cement Mason,75,75,75,50,497,2018/01/27,2016/04/22,0,1,b5a15695-40f0-4ffa-9841-32baa6be7893
448,567,894,973,695,75,2016/10/16,6,Safety Officer,17,17,17,6,316,2016/02/17,2015/03/20,6,0,6857488c-29d7-4d97-b375-fade6a770733
496,588,608,686,589,50,2018/02/06,4,Safety Officer,100,100,100,48,542,2016/10/17,2015/06/26,4,1,4a0bb255-f337-49c5-b9b6-09165ec4166f
599,792,15,703,568,82,2018/06/16,9,Pipefitter,75,75,75,30,229,2017/08/12,2016/10/16,9,1,4dc74268-5079-40b7-bbda-f967292bb0ba
998,114,298,950,786,97,2017/01/21,6,Millwright,59,59,59,50,649,2016/04/27,2016/12/11,6,0,50235edd-8a97-4135-a164-0ba75367cbd1
673,955,931,724,773,93,2017/09/23,8,Electrician,88,88,88,1,658,2017/03/05,2015/03/06,8,0,13775310-8384-432f-8e24-0a4cda1df097
371,665,65,876,100,74,2018/04/07,0,Laborer,72,72,72,11,32,2017/02/27,2017/04/11,0,1,3cb32809-bec8-439c-adc5-2db886bec6dc
659,615,314,850,857,32,2017/12/24,9,Waterproofer,1,1,1,7,588,2015/05/11,2017/03/23,9,0,a2f3450c-9c95-491d-a871-7879a38723bd
714,637,206,779,872,48,2018/10/31,2,Linemen,48,48,48,40,166,2017/01/05,2016/10/23,2,1,f63d6a66-7713-470e-a574-470d69855efa
642,705,75,770,42,10,2016/10/05,8,Refridgeration,72,72,72,47,583,2016/10/30,2015/02/22,8,0,06c9352f-5263-4dfa-a914-eb3ff7018982
117,998,768,672,235,10,2017/07/21,7,Equipment Operator,51,51,51,5,153,2016/03/31,2016/08/26,7,1,5afed399-55e7-4ef0-855b-8645964fc104
838,639,558,499,385,76,2018/01/22,2,Refridgeration,59,59,59,21,579,2018/03/02,2018/02/05,2,0,7b534bdc-30e5-474b-a854-deb57b025641
490,2,617,426,930,73,2017/03/18,0,Laborer,10,10,10,34,983,2015/04/13,2017/04/29,0,0,a7065e67-c2db-4ee1-ba9b-3014350affc1
640,48,84,795,790,50,2017/03/01,6,Waterproofer,85,85,85,44,649,2016/10/31,2015/12/04,6,1,f9ac12ab-5459-4002-8cbb-6a669170e0c2
934,813,549,684,524,70,2017/05/31,4,Plasterers,27,27,27,25,390,2016/12/09,2018/06/11,4,1,f110fc2c-c356-4deb-a2c5-067d8913986d
585,727,407,346,948,47,2018/12/31,6,HVAC,22,22,22,46,474,2015/12/01,2017/08/15,6,1,de9f6f09-734a-4406-abb5-dcc75ec71bfd
726,646,270,194,78,11,2017/06/25,5,Safety Officer,88,88,88,27,189,2017/11/27,2018/09/02,5,1,1b44aa5d-302f-4752-8814-1fc0ac963d44
82,225,53,809,644,27,2016/01/06,5,Ironworker,81,81,81,17,526,2017/10/10,2016/10/30,5,1,b1fe5521-c90e-4402-8033-5f2e81105dbb
453,660,240,475,765,70,2016/07/15,3,Linemen,33,33,33,40,374,2017/02/10,2015/08/10,3,0,36954b2f-d829-48fc-bae2-0abe10257d02
405,522,523,88,313,52,2016/11/14,4,Millwright,95,95,95,11,717,2015/10/03,2015/12/07,4,1,0a74c26e-3af0-4b51-a0e6-17cfae72b900
220,471,235,875,149,4,2018/02/12,1,Welder,38,38,38,35,572,2015/04/19,2015/03/03,1,0,d2c4fbec-5fb5-486b-9a18-2f89b886d111
138,347,852,512,433,55,2016/06/11,5,Plasterers,93,93,93,16,468,2018/09/10,2015/01/09,5,0,e3e121e3-730b-4d97-bcfe-08c2a911b81d
627,511,95,806,1000,52,2018/01/16,5,Plumber,74,74,74,50,409,2016/12/06,2017/08/07,5,0,cd2d52c7-bd73-485c-9ffe-db434897ea80
716,342,223,581,529,49,2016/11/07,8,Stucco Mason,32,32,32,45,274,2017/01/06,2016/12/13,8,1,63d3d08d-1343-4456-9faa-e01840cc086f
826,898,731,634,304,18,2017/03/17,7,Stucco Mason,53,53,53,8,570,2017/10/12,2015/05/02,7,0,c3f9f06c-d746-410e-827b-6bba51b440a6
366,162,502,643,726,80,2018/09/03,1,Brickmason,3,3,3,29,341,2016/02/18,2015/12/18,1,0,82a1eafc-15af-41e7-93d3-a4482a63c1f6
853,991,926,158,627,63,2017/03/12,8,Glazier,3,3,3,23,885,2015/08/28,2015/05/28,8,0,3a87c269-052e-4330-af8f-99b43bb85d7f
989,749,617,370,867,87,2017/09/10,7,Stucco Mason,23,23,23,33,684,2016/02/10,2016/04/01,7,0,d7a3ce85-879e-45e2-8816-257cb2172346
453,849,257,256,522,68,2017/11/04,1,Pipelayer,44,44,44,27,892,2018/06/12,2016/12/04,1,0,586546e7-bddd-4ac0-b482-abd948df3cff
616,224,752,21,966,46,2017/09/10,3,Electrician,51,51,51,33,321,2017/01/19,2017/12/17,3,0,4cc778ab-42fd-44e2-9dd9-8f8d53c48977
556,722,706,328,460,70,2017/06/11,4,Cement Mason,28,28,28,45,530,2015/01/08,2016/12/25,4,0,4e1d60ca-727c-41dd-9775-e026b549490d
433,264,320,996,975,55,2018/01/25,8,HVAC,26,26,26,21,809,2017/01/21,2018/05/01,8,1,44ada69a-7810-41ca-a709-7c9decb7de48
633,916,767,867,161,75,2016/03/26,7,Concrete Finisher,74,74,74,43,973,2015/07/06,2017/01/05,7,0,32c79942-f17c-412f-a4ea-ca3564cd04a7
896,287,835,216,905,26,2017/04/25,7,Refridgeration,60,60,60,44,401,2015/08/23,2018/08/16,7,1,31ceda41-23be-4466-8e8b-ed443be963c3
211,189,358,2,44,83,2018/12/28,0,Painter,4,4,4,17,882,2016/04/18,2015/01/07,0,0,ae313d50-f215-445a-9844-1e706e871e58
516,25,600,264,574,53,2016/01/20,8,Waterproofer,87,87,87,44,281,2017/08/30,2018/05/19,8,1,5a337671-a1a1-48e8-b41f-33035379856e
892,773,965,664,176,12,2016/05/14,9,Brickmason,44,44,44,12,860,2017/04/30,2018/06/02,9,1,082d0a28-de11-4653-9ee1-a873d6fdc245
84,843,918,669,963,46,2018/05/18,4,Concrete Finisher,51,51,51,23,637,2018/05/31,2015/08/25,4,1,d0e00ae5-601f-4cfe-988f-6ce239a36e0e
724,255,913,168,793,3,2016/10/10,4,Ironworker,13,13,13,4,266,2017/05/06,2016/07/12,4,1,79747b70-5af0-4efc-afaf-f495235ee508
184,83,949,18,86,44,2018/01/19,7,Plasterers,8,8,8,49,362,2015/04/24,2017/09/07,7,0,4299fb02-0f37-4679-837c-f54e8bece83a
634,166,396,912,480,14,2018/12/05,4,Welder,97,97,97,45,533,2016/02/24,2015/02/07,4,0,63d80b74-3751-442f-8716-84aa87ee3661
5,214,870,443,922,9,2018/04/16,2,Laborer,9,9,9,24,224,2016/02/26,2017/07/27,2,0,ebf4416a-926a-4656-aa12-5b05d2c8fa49
194,776,782,382,946,46,2016/11/18,1,Waterproofer,81,81,81,31,790,2016/10/31,2017/10/13,1,0,307085ff-1f9a-48f6-8eb9-8356fbf30809
601,175,300,737,810,78,2017/10/29,5,Landscaper,12,12,12,3,381,2016/03/22,2017/01/07,5,0,3ddbf139-1f8e-4a95-8a02-4fd06fcd3157
785,753,725,740,879,37,2018/10/03,5,Laborer,17,17,17,2,737,2018/03/20,2015/09/12,5,1,5c1ab682-47be-4551-af57-93001383d058
427,251,453,60,858,72,2016/12/23,1,Sheet Metal Worker,91,91,91,35,646,2015/01/22,2016/04/15,1,0,9f4ce637-ff4e-4a69-9def-2fba858fc38a
748,770,418,537,846,70,2017/07/27,4,Sheet Metal Worker,18,18,18,15,469,2016/09/08,2017/05/22,4,1,2cf32472-1627-4059-b66c-b8245411e687
325,691,673,528,5,3,2018/01/16,8,Electrician,25,25,25,18,838,2016/05/23,2016/03/30,8,1,28f45cac-13be-4a9a-971e-8986ec3d52d6
852,173,535,446,533,42,2017/03/24,9,Ironworker,12,12,12,10,787,2016/07/20,2015/10/26,9,1,4cdf0c43-04e2-4f48-8956-755f14fd4f97
935,490,485,411,595,85,2018/04/01,0,Landscaper,36,36,36,42,769,2016/04/18,2015/01/18,0,1,b7325bb9-9aa7-4878-bdb1-6e0e410c41bf
182,24,523,864,329,52,2018/09/24,1,Laborer,34,34,34,19,571,2018/04/29,2016/11/28,1,1,3064bee2-e811-46e0-99c8-885c5bb6e914
697,247,635,888,590,40,2018/02/14,7,Refridgeration,50,50,50,3,696,2018/08/24,2016/09/23,7,0,91e6f61d-7772-492d-a3d0-c62e4174526f
692,166,435,208,295,22,2018/04/12,2,Stucco Mason,18,18,18,47,492,2018/07/28,2017/11/24,2,0,2d403e0b-da3f-4471-99ab-094f7a4485db
69,242,400,658,794,19,2018/08/27,2,Stucco Mason,27,27,27,17,714,2018/09/06,2017/05/13,2,0,14b4d5e8-f153-4762-b0a7-e412cd492633
44,228,373,769,724,25,2018/02/17,2,Plumber,53,53,53,11,146,2016/09/18,2016/02/18,2,0,01fef4fd-5f7b-4a7b-bfde-86ce3d8aa73f
91,545,283,40,696,55,2018/10/09,0,Waterproofer,73,73,73,21,380,2015/02/28,2017/04/19,0,1,0704013e-360e-4be8-968c-987290780571
171,193,970,90,128,6,2016/04/19,4,Welder,51,51,51,33,297,2016/10/16,2018/05/08,4,0,33d2eb5c-51be-4c1a-94ab-1017c128a37d
939,825,883,707,715,1,2016/12/14,2,Waterproofer,37,37,37,50,865,2015/05/20,2016/03/05,2,0,223738c4-291d-4097-bdbe-0e2ef95e4f08
243,434,712,389,758,15,2017/06/07,7,Plasterers,82,82,82,41,739,2016/11/11,2016/01/21,7,0,cb51de10-c3f9-484d-ad38-d8806a15befb
96,650,212,571,837,94,2016/10/28,0,Terrazzo,85,85,85,31,120,2016/07/01,2017/10/12,0,1,3f369ce8-08fc-48f0-9bad-655a17bd6b4b
212,90,843,179,833,39,2016/06/26,5,Ironworker,95,95,95,50,453,2017/07/01,2018/05/26,5,1,08977ef0-99eb-4a7e-8452-910f361f1750
182,198,311,763,76,56,2016/05/19,7,Cement Mason,2,2,2,36,127,2016/12/17,2017/05/04,7,1,1d29a15b-3528-44b1-b9a5-72695dea3e1d
61,416,459,712,955,91,2017/06/26,4,Brickmason,16,16,16,19,88,2017/07/03,2017/04/23,4,1,f8e30083-d782-4139-a940-989b1b4b31dc
408,122,399,235,64,6,2016/02/05,8,Painter,90,90,90,35,759,2015/03/20,2015/03/26,8,1,d78f834a-c8c3-497c-890a-9626acae7d2d
473,428,129,652,933,89,2018/07/10,8,Plumber,95,95,95,48,798,2015/04/06,2015/01/11,8,0,4ea358d3-f2d1-4739-a59f-db1aa2713fc6
975,569,850,951,999,97,2018/12/09,8,Electrician,81,81,81,40,277,2015/02/08,2017/04/11,8,1,73578f59-da50-4e7e-8e18-303d2e06fdca
23,999,969,520,741,32,2018/06/29,5,Electrician,36,36,36,2,980,2016/10/16,2017/10/01,5,1,344d7152-04a7-45c3-8759-da2ed4a1b669
421,965,423,83,679,84,2017/03/24,5,Sheet Metal Worker,14,14,14,24,476,2016/02/23,2016/09/13,5,1,1f8f32a2-b9ec-45d4-9444-35efd22be6e4
362,867,527,520,917,25,2017/07/09,5,HVAC,29,29,29,49,254,2018/04/14,2016/11/12,5,1,4a9c8192-1774-493e-81ce-2b69c9216556
990,209,410,750,216,33,2016/07/07,6,Boilermaker,65,65,65,49,67,2015/03/23,2018/05/28,6,0,5cb01318-c725-4ab0-adfe-c333263aebbc
489,764,67,93,803,22,2018/04/11,2,Plasterers,85,85,85,46,236,2015/07/21,2015/01/14,2,0,09f96e00-d23d-4fa9-b8f3-8e3c2ff60e02
635,102,508,422,13,63,2017/10/11,7,Equipment Operator,5,5,5,27,793,2018/08/22,2015/06/05,7,0,80df9418-d4a2-4f2d-ae7b-a284596cb8fa
27,231,33,286,330,96,2017/10/31,6,Boilermaker,58,58,58,36,397,2017/07/22,2016/02/07,6,1,36d47ed7-e081-44ee-bccd-27afcf87846d
773,669,260,537,632,10,2017/02/26,2,Welder,23,23,23,19,887,2016/07/12,2016/03/21,2,0,37ad8745-6869-40ef-8b27-57aad3803c53
138,330,935,256,266,7,2018/01/29,2,Ironworker,60,60,60,50,220,2017/06/25,2016/01/05,2,0,60e6adc3-3e43-42bb-9355-11c9e70a5826
422,837,376,641,637,50,2016/09/21,4,Glazier,50,50,50,18,121,2016/01/25,2015/11/27,4,1,002391d6-b543-4ba3-bc81-660b29bb7f37
327,194,311,836,788,86,2017/04/25,5,Electrician,99,99,99,3,261,2015/04/05,2017/04/19,5,1,cd344afb-8ad7-4d0a-8a04-5fecf58eca3c
531,166,923,441,997,71,2018/01/04,0,Pipelayer,67,67,67,5,464,2017/06/06,2016/02/28,0,0,4ea01c4b-48de-44d1-a834-f9bf4aab408c
800,633,471,762,988,75,2017/07/07,1,Tile Setter,44,44,44,15,932,2017/05/23,2018/02/28,1,1,0078b281-570c-4c59-b06a-c24aa034a2c1
184,831,735,656,793,25,2017/01/29,3,Pipefitter,37,37,37,30,731,2016/04/26,2018/08/19,3,0,668f340d-80e3-4fc3-b822-d76729181e96
185,520,392,613,248,32,2017/01/05,6,Plumber,66,66,66,6,176,2017/04/04,2017/03/30,6,0,568051bc-c424-41b6-ad29-7a2dc368637b
996,347,589,623,995,59,2016/06/17,4,Laborer,33,33,33,21,364,2015/05/11,2016/05/24,4,0,7f838d73-e51c-4b66-828b-6cf9de9d40c5
80,199,150,85,125,73,2018/05/11,6,HVAC,75,75,75,50,722,2017/05/26,2015/06/16,6,1,a156d0c5-af6b-4979-9ea7-f9a1bf44fee8
439,525,40,124,115,55,2018/01/12,0,Millwright,82,82,82,23,849,2017/10/06,2016/12/02,0,1,4d58afcc-49b1-4bda-8677-7182370d7d28
317,930,615,995,759,100,2016/02/14,7,Terrazzo,91,91,91,33,512,2015/06/13,2017/07/19,7,0,d1f4647a-e8a1-42e1-820b-e5a9baea0bc8
272,506,458,262,729,68,2016/06/10,3,Linemen,25,25,25,4,748,2015/12/26,2017/01/15,3,1,dab51f18-02b0-4f5f-8c22-c42e6aa03e75
581,371,157,224,197,4,2017/05/12,7,Carpenter,61,61,61,7,737,2016/03/04,2018/02/17,7,0,ac7e49a7-4e97-4dd2-ba5a-4797fc2937d8
260,23,582,736,130,46,2018/06/30,2,Carpenter,81,81,81,20,765,2015/11/01,2016/05/26,2,0,aa6b77a1-6792-4332-9f8a-84420bc389a4
362,857,955,132,869,66,2016/06/05,3,Boilermaker,15,15,15,29,161,2015/05/19,2018/04/25,3,0,52f10d43-f3c4-4e4b-ae65-342b685587ab
574,490,718,955,812,42,2017/02/12,9,Stucco Mason,63,63,63,30,601,2018/08/15,2016/01/11,9,0,a4d57434-ba3a-429a-95e5-6b367131134f
363,644,92,205,311,47,2018/02/09,6,Ironworker,98,98,98,37,970,2015/01/31,2018/08/12,6,1,6a1162db-70d8-4fcd-852e-fd5d05718396
913,817,483,10,214,62,2016/03/09,3,Refridgeration,27,27,27,1,764,2015/12/10,2015/10/23,3,1,3f0be391-44ee-4eec-9304-80e178a69d38
201,549,913,674,690,50,2017/02/09,0,Pipefitter,39,39,39,50,964,2018/07/27,2015/09/15,0,0,05d0b6a9-3b7e-48d3-8909-2a1a1f47833e
593,221,217,883,442,87,2017/06/05,7,Carpenter,59,59,59,19,885,2017/09/06,2018/06/19,7,1,aeafe314-0af1-4650-b455-a02d6e0c139d
858,325,952,282,269,33,2017/07/28,4,Electrician,94,94,94,3,379,2018/03/10,2017/02/19,4,0,4b351a24-6871-421c-b25c-8aece7e99ed5
726,579,98,408,229,17,2017/05/01,0,Millwright,98,98,98,33,308,2016/12/01,2017/01/03,0,1,da92808f-02c8-4c25-b4c4-9123bb167113
533,323,73,264,812,44,2016/02/24,0,Electrician,87,87,87,48,393,2018/08/23,2017/05/18,0,0,79d20353-7108-4391-808f-ddad7b8f5dd1
897,713,214,100,339,39,2016/06/25,9,Laborer,5,5,5,21,422,2015/12/29,2016/07/16,9,1,232c19ec-399f-4ff9-b3d1-279edfe5fd55
230,300,773,409,55,82,2017/12/24,8,Refridgeration,72,72,72,15,141,2016/10/08,2016/07/05,8,0,83114104-5a41-4a79-97ef-5abec8135fca
902,981,91,170,440,11,2018/06/21,6,Concrete Finisher,36,36,36,27,759,2015/08/26,2016/06/27,6,0,ac713917-b54d-41b2-bd33-5ecb6348cec5
642,878,182,334,583,13,2016/07/23,5,Electrician,1,1,1,34,820,2015/06/09,2018/08/09,5,1,91fff450-ccb3-44e8-9908-b30404167b8c
388,828,688,425,746,31,2016/04/14,0,Safety Officer,48,48,48,3,652,2016/08/10,2017/12/17,0,0,a6049db5-cabe-4f60-a7dc-602071f42d32
