invoiceDetailId,baseAmount,baseAmountBase,description,invoiceId,lineItemNumber,productId,quantity,uoMid,SalesOrderId,SalesOrderDetailId,pricePerUnit,pricePerUnitBase,tax,taxBase
878,33,9,"Contact with hypodermic needle, subsequent encounter",596,194011,801,27,Blow Out,8949,9264,$1857.89,$333.25,$35.62,$15.57
116,58,38,"Nondisp trimalleol fx r low leg, 7thJ",622,357465,871,91,Rude Boy,7467,7694,$1611.42,$149.73,$36.60,$11.77
46,4,45,Posterior dislocation of unspecified humerus,786,458700,306,40,Ondine,2314,5614,$3140.85,$783.13,$29.12,$20.83
408,10,31,"External constriction, unspecified lower leg",581,182692,728,92,Citizen Gangster ,1893,7464,$4423.32,$231.81,$32.88,$9.60
492,69,48,"Minor laceration of left pulmonary blood vessels, sequela",488,159984,977,16,We're No Angels,9963,5297,$1037.45,$545.56,$28.65,$20.83
522,35,27,Pneumonia due to Mycoplasma pneumoniae,475,135664,631,93,Fantastic Four: Rise of the Silver Surfer,3809,10865,$1703.74,$164.04,$29.82,$6.24
154,24,22,Other specified disorders of bone,623,476003,841,26,Poto and Cabengo,9144,7196,$2366.36,$739.30,$31.17,$19.73
454,3,17,"Adverse effect of other laxatives, initial encounter",32,496842,190,89,Adrift (Choi Voi),4534,10508,$1170.20,$484.81,$29.44,$17.58
857,51,46,"Wedge comprsn fx first lum vert, subs for fx w delay heal",502,417247,925,38,Facing the Truth (At kende sandheden),9599,3329,$2049.87,$744.29,$31.06,$10.61
974,95,3,"Oth fracture of upper end of unsp radius, init for clos fx",372,390773,375,86,Carve Her Name with Pride,6245,1017,$1538.89,$269.30,$25.01,$15.44
574,8,14,"Unsp fx shaft of left fibula, subs for clos fx w malunion",884,379311,249,88,Daddy and Them,9441,5471,$1894.54,$418.35,$36.72,$6.59
839,88,19,"Abrasion, right thigh, initial encounter",49,203575,742,97,Blood on Satan's Claw (a.k.a. Satan's Skin),3153,9363,$3011.61,$211.46,$38.43,$1.14
156,3,11,"Unsp fx lower end of unsp tibia, subs for clos fx w nonunion",381,362658,286,16,Arizona Dream,9771,8869,$2805.20,$215.17,$26.41,$11.84
749,60,49,"Corrosion of mouth and pharynx, initial encounter",885,151636,576,53,Demon Wind,8811,5266,$3798.36,$12.99,$49.58,$20.15
721,23,12,"Path fx in neopltc dis, r radius, subs for fx w delay heal",104,223010,208,43,Smoke on the Potato Fields (Dým bramborové nate),8110,7246,$3299.63,$108.72,$36.41,$21.52
73,26,14,Burn of first degree of right thumb (nail),65,346168,938,19,Everybody Street,5269,6468,$4265.83,$274.36,$46.91,$9.27
435,57,42,Injury of other specified intrathoracic organs,719,256018,260,39,"Cable Guy, The",6678,10684,$2126.58,$353.71,$31.74,$1.18
393,72,19,"Other cyst of bone, unspecified lower leg",676,483429,278,41,Paheli,9980,7377,$4982.76,$475.19,$44.92,$13.86
210,41,41,"Partial physeal arrest, left proximal humerus",822,356213,822,91,Super 8,9246,4106,$2424.94,$615.31,$34.58,$15.93
601,43,20,"Sltr-haris Type II physl fx upr end humer, l arm, 7thK",995,496379,511,68,Operation Crossbow,2437,2194,$1571.66,$877.10,$45.22,$14.04
84,61,46,"Person outside car injured in collision w van in traf, subs",388,284182,908,13,Hans (Kukkulan kuningas) ,4113,10348,$4176.35,$605.82,$37.49,$17.88
143,49,25,"Unsp lagophthalmos unspecified eye, unspecified eyelid",926,125473,974,67,"Majority of One, A",5150,3668,$3796.71,$180.62,$34.26,$23.23
492,12,20,Passenger injured in collision w oth and unsp mv nontraf,815,416202,178,61,Criminals,2145,9087,$1179.18,$159.28,$38.92,$4.63
452,79,4,Other abnormality of red blood cells,476,187791,151,69,Friendly Persuasion,9895,3094,$2897.01,$909.24,$31.21,$11.52
894,55,12,"Unsp tear of unsp meniscus, current injury, right knee",650,277198,697,32,Shaft,9551,7349,$2968.50,$738.41,$47.94,$9.30
141,41,11,"Capslr glaucoma w/pseudxf lens, right eye, severe stage",168,183194,131,13,Journey to the Beginning of Time,2408,8196,$3400.38,$807.56,$40.59,$3.57
619,9,35,"Pathological fracture in oth disease, right ankle, init",509,447692,913,61,Meat the Truth,4068,7426,$2809.51,$357.71,$39.60,$9.54
944,68,43,"Laceration of ulnar artery at forearm level, left arm",2,273096,937,22,Man on Fire,2830,1509,$4649.62,$425.18,$43.51,$11.07
481,27,1,"Unsp fx shaft of unsp femr, 7thE",769,129270,437,48,"House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La)",8592,2001,$2683.89,$634.73,$33.44,$20.92
634,89,25,"Nondisp fx of third metatarsal bone, unsp foot, sequela",459,111712,381,19,Not My Type,3967,6991,$2611.45,$831.67,$43.32,$24.13
403,50,5,"Displ simple suprcndl fx w/o intrcndl fx r humerus, init",331,185843,669,39,Jacknife,7329,1966,$1598.46,$975.68,$25.10,$22.45
843,23,46,"Nondisp seg fx shaft of ulna, l arm, 7thK",471,325494,348,31,Abraham,2735,5673,$3254.49,$540.38,$28.86,$8.04
881,52,28,"Blister of unsp external genital organs, male, sequela",396,234715,737,42,"Perfume of the Lady in Black, The (Il profumo della signora in nero)",2294,2399,$4447.95,$938.39,$29.19,$3.63
626,39,10,"Lead-induced chronic gout, multiple sites, without tophus",570,448392,758,17,Rest Stop,4953,8654,$2490.97,$337.70,$37.54,$16.99
37,51,23,"Displ commnt fx shaft of rad, r arm, 7thF",841,125147,995,15,Whiteboyz,3412,1478,$4583.05,$628.59,$47.90,$16.36
886,54,15,"Primary blast injury of rectum, subsequent encounter",429,203263,427,78,"Prefab People, The (Panelkapcsolat)",4568,7722,$3065.06,$639.11,$25.50,$2.82
886,15,28,Brain stem stroke syndrome,655,447970,318,82,Lancelot of the Lake (Lancelot du Lac),9629,2608,$2659.90,$790.48,$38.91,$1.24
619,38,47,"Nondisp fx of med malleolus of unsp tibia, 7thG",117,473442,207,35,Monsoon Wedding,2521,1636,$1944.01,$531.86,$32.64,$1.46
314,15,41,Other physeal fracture of phalanx of toe,403,201459,295,61,Juice,2639,6864,$1513.22,$177.67,$40.22,$17.13
591,59,42,Unspecified injury of duodenum,753,277990,934,90,THX 1138,7288,10562,$1355.50,$765.65,$49.11,$9.19
774,93,2,"External constriction, unspecified thigh",927,156983,856,26,Nobody's Fool,9047,6577,$3092.53,$369.41,$27.05,$3.56
233,92,45,Insect bite (nonvenomous) of left ring finger,685,200548,331,19,"Golden Compass, The",7437,5709,$1685.99,$880.07,$28.56,$5.09
381,41,22,"Nondisp fx of unsp tibial spin, 7thM",284,262834,943,90,"Cairo Station (a.k.a. Iron Gate, The) (Bab el hadid)",10928,7764,$1751.15,$708.75,$31.52,$5.73
147,81,11,Contusion of right thigh,426,196705,883,56,Zorro,9513,9840,$2420.82,$183.77,$35.84,$20.71
842,7,33,Hemorrhagic fever with renal syndrome,875,454194,1000,72,Push,8336,1308,$2496.56,$63.31,$37.34,$20.12
433,76,24,"Burn of third degree of unspecified foot, sequela",454,432489,864,85,Gothika,9733,9418,$1622.73,$768.97,$37.15,$3.25
530,68,26,"Aneurysmal bone cyst, left upper arm",915,460932,717,57,White Bird in a Blizzard,8421,2667,$1521.77,$39.47,$30.08,$17.78
478,97,19,"Poisoning by unsp agents aff the GI sys, self-harm, init",408,136068,789,100,Music From Another Room,1368,9693,$3404.04,$457.22,$39.22,$21.38
90,78,17,Toxic effect of phosphorus and its compounds,683,327018,901,24,RoboCop 3,5243,9513,$1368.00,$627.07,$31.32,$6.21
577,97,42,Occupant of pk-up/van injured in collision w hv veh,410,490855,580,14,Guadalcanal Diary,9496,1415,$2584.29,$219.81,$25.33,$7.74
800,87,48,Unspecified open wound of ankle,113,378415,547,99,Full Body Massage,6699,1883,$1298.53,$937.82,$48.19,$5.27
122,38,30,"Poisn by centr-acting/adren-neurn-block agnt, undet, init",725,225910,725,53,"Hills Have Eyes, The",5628,1376,$1234.14,$995.44,$26.75,$3.94
456,41,40,"Corrosion of unsp degree of male genital region, subs encntr",201,384111,860,47,Archangel,5486,10114,$1638.76,$409.47,$33.13,$21.84
876,97,21,"Synovial hypertrophy, NEC, unsp lower leg",78,318283,749,91,"Love Movie, The (Rakkauselokuva)",9687,6753,$1510.25,$617.17,$28.70,$4.60
845,99,47,"Maternal care for hereditary disease in fetus, oth",815,314868,21,67,Dragonlance: Dragons of Autumn Twilight,7504,9450,$2258.32,$678.60,$35.04,$11.34
497,46,18,"Unsp open wound of unspecified part of head, init encntr",838,340381,750,84,I Am Maria (Jag är Maria),10707,5170,$4974.67,$305.59,$47.22,$8.09
213,49,45,"Injury of l int carotid, intcr w LOC of unsp duration",595,276846,308,55,Romeo and Juliet,5911,8272,$1770.26,$534.14,$37.87,$13.05
888,60,49,Traum rupture of palmar ligament of r rng fngr at MCP/IP jt,319,458322,91,9,William Kunstler: Disturbing the Universe,4592,5542,$4002.42,$118.55,$48.49,$19.82
620,84,43,Hemiplga fol ntrm subarach hemor aff right dominant side,819,231863,567,57,The Arrival of Wang,6788,5632,$2619.34,$514.89,$39.59,$16.03
379,77,5,"Poisoning by oth fibrin-affct drugs, self-harm, init",967,450716,846,31,Speedway,10869,7794,$4687.33,$178.11,$46.93,$23.32
128,62,5,Assault by crashing of motor vehicle,797,389287,186,30,"Girls Can't Swim (Filles ne savent pas nager, Les)",4291,5709,$4554.71,$766.35,$40.02,$18.58
680,90,24,"Colles' fx left radius, subs for opn fx type I/2 w nonunion",858,191481,831,96,April Captains (Capitães de Abril),2938,8714,$2210.18,$65.51,$29.57,$5.72
783,28,4,"Hypertrophy of bone, right radius",757,350835,375,8,Face (Visage),7235,3616,$3054.71,$32.77,$32.39,$1.39
971,18,43,"Vesicoureter-reflux w reflux neuropath w/o hydrourt, bi",120,188771,683,34,The Sea Chase,1320,3308,$3225.37,$880.19,$31.68,$2.03
964,2,10,Sltr-haris Type I physeal fracture of phalanx of right toe,566,314449,397,35,Song of the Thin Man,10368,4496,$1011.06,$734.28,$48.44,$13.22
133,37,34,Assault by letter bomb,488,172660,15,32,"One, The",8570,3411,$3946.96,$531.66,$31.83,$18.64
871,96,32,Acute lymphangitis of left finger,858,183683,541,64,"Homem Que Desafiou o Diabo, O",9640,8688,$4845.14,$154.51,$31.93,$23.61
870,44,16,"Nondisp seg fx shaft of humer, r arm, subs for fx w malunion",144,413987,380,19,Wake of Death,7000,10256,$3658.81,$365.69,$28.78,$1.36
672,47,20,"Strain extn musc/fasc/tend l little fngr at forarm lv, subs",343,254109,193,8,WWII IN HD,6912,8530,$3679.69,$792.94,$26.98,$1.43
797,73,48,Unspecified dislocation of unspecified shoulder joint,891,442912,279,83,"Parasites, Les",10146,2811,$1590.03,$334.05,$39.27,$17.70
842,93,32,Granuloma of orbit,74,222053,340,54,"Raven, The",10483,3536,$3791.19,$698.98,$35.81,$6.33
228,3,34,"Skateboarder colliding with stationary object, subs encntr",248,143162,276,69,Ink,2007,1381,$2001.82,$246.29,$28.26,$5.83
144,21,29,"Lead-induced chronic gout, left ankle and foot",263,264081,41,38,"Sheepman, The",4703,10274,$3454.93,$586.75,$38.49,$4.15
85,7,37,"Struck by other marine mammals, sequela",397,479743,233,20,Black Roses ,1768,10094,$4018.49,$791.99,$49.24,$13.43
172,95,18,"Nondisp fx of dist phalanx of l great toe, init for opn fx",352,158098,355,25,Five Minutes of Heaven,1942,9864,$1029.48,$161.96,$36.92,$24.53
694,74,14,"Inj musc/tend anterior grp at low leg level, unsp leg, init",735,334247,673,100,Serena,6953,6963,$2274.76,$189.93,$35.41,$3.80
626,88,37,"Displ commnt fx shaft of r tibia, 7thD",647,260382,437,71,Viva Villa!,3213,1577,$4162.55,$809.18,$41.89,$12.00
807,75,44,"Type III traum spondylolysis of 3rd cervcal vert, 7thK",74,366303,592,3,On a Clear Day,8920,8535,$2491.13,$540.83,$34.06,$16.98
373,89,45,"Nondisp fx of proximal phalanx of other finger, sequela",663,387531,677,75,On Deadly Ground,4734,7828,$1901.30,$963.98,$48.60,$1.41
122,82,41,"Blister (nonthermal) of right thumb, sequela",613,361820,75,74,Potiche,5972,6156,$2403.61,$139.33,$31.70,$13.97
534,40,5,Traumatic rupture of right radiocarpal ligament,562,472620,980,74,Fantastic Voyage,1886,10622,$3024.67,$741.90,$49.15,$24.25
474,45,33,"Other streptococcal arthritis, left elbow",368,180871,875,17,Disney Princess Collection: Jasmine's Enchanted Tales: Jasmine's Wish,8565,6628,$4584.11,$145.48,$39.24,$4.36
702,18,35,"Person outsd pk-up/van inj in clsn w ped/anml nontraf, subs",368,474987,453,47,Vacation from Marriage,4421,9370,$2097.34,$701.66,$40.84,$1.89
305,57,2,Injury of unspecified iliac artery,398,389492,416,89,"Clown, The",6006,3180,$1128.64,$286.60,$37.08,$3.48
529,2,42,"Disp fx of neck of metacarpal bone, subs for fx w delay heal",891,248711,272,84,Cass Timberlane,5247,1151,$1512.21,$39.86,$39.29,$20.33
191,8,46,Acute pain due to trauma,842,449203,1,40,School Daze,4064,2732,$1241.01,$105.55,$37.15,$1.90
302,54,10,"Malignant neoplasm of urinary organ, unspecified",965,194154,744,43,The Count of Monte Cristo,2404,5788,$2468.60,$612.50,$37.44,$4.82
943,22,30,"Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, sqla",394,309831,538,26,Nice Guys Sleep Alone,7990,8995,$3841.63,$742.87,$47.97,$9.15
214,79,9,"Oth fracture of left pubis, subs for fx w nonunion",770,188555,126,3,Jamilya,5463,10323,$4774.42,$376.99,$43.37,$7.10
338,6,33,"Corrosion of first degree of unsp forearm, init encntr",452,441632,408,2,"Big Town, The",4482,6353,$4292.32,$464.41,$36.88,$20.34
470,20,44,"Contusion of uterus, sequela",267,290917,231,45,Juvenile Court,6330,2612,$3273.29,$866.84,$47.88,$14.01
538,31,6,Direct infct of l elbow in infec/parastc dis classd elswhr,879,184129,267,91,"Inspectors, The",5261,10260,$2669.31,$412.90,$40.37,$9.56
10,28,42,"Toxic effect of other alcohols, assault, subs encntr",999,166735,479,24,Paranoia,6266,10847,$3896.79,$149.63,$27.28,$11.59
849,23,28,Other disorders of refraction,289,389617,436,27,"Inheritors, The (Siebtelbauern, Die)",5021,6385,$4156.29,$253.03,$41.60,$21.11
974,17,48,"Unsp inj flexor musc/fasc/tend unsp fngr at forarm lv, init",590,406889,668,90,Xanadu,7660,6103,$2946.29,$390.78,$45.63,$19.02
98,10,41,"Other disorders of bone development and growth, right radius",999,186285,37,72,Old Dogs,4503,4503,$4455.58,$382.08,$48.28,$4.58
581,84,32,"Contusion of left middle finger w/o damage to nail, subs",851,445193,304,12,Duets,8823,10382,$3171.04,$952.96,$33.15,$11.53
889,42,37,"Sltr-haris Type I physeal fx upper end of l tibia, sequela",999,259150,760,59,Yu-Gi-Oh!: Bonds Beyond Time (Gekijouban Yuugiou: Chouyuugou! Jikuu o koeta kizuna),9805,9542,$2194.71,$174.88,$40.35,$5.05
19,65,37,"Mild to moderate pre-eclampsia, second trimester",355,116110,883,23,Moonrise Kingdom,1201,7911,$3035.88,$817.10,$47.82,$17.44
411,58,20,"War op w dest arcrft due to clsn w oth aircraft, milt, init",666,465037,968,74,Fall From Grace,1566,10509,$1422.36,$633.27,$31.83,$9.01
822,25,31,Varicos vn unsp lower extremity w ulcer of heel and midfoot,388,163579,469,72,Please Remove Your Shoes ,3238,4997,$3765.06,$370.06,$35.03,$10.29
801,53,40,"Unsp injury of musc/fasc/tend at wrs/hnd lv, left hand, subs",132,221657,672,4,Hot Pursuit,9903,4375,$3678.75,$335.62,$28.49,$7.74
447,41,33,"Adverse effect of other psychotropic drugs, init encntr",154,114206,987,84,Riptide,3269,9427,$4137.47,$56.27,$45.35,$7.25
531,6,23,"War op w explosn of unsp marine weapon, civilian, sequela",145,456561,160,53,"George Lopez: It's Not Me, It's You",5491,3373,$3404.06,$337.92,$45.01,$1.05
544,45,45,"Sltr-haris Type II physeal fx right metatarsal, 7thK",946,453787,377,83,Moontide,9690,2892,$4929.55,$400.33,$47.50,$15.09
618,79,42,Progressive bulbar palsy,589,173867,136,84,Reincarnated,7669,3180,$3024.10,$462.73,$28.54,$1.75
642,92,25,"Juvenile osteochondrosis of spine, multiple sites in spine",620,297240,451,34,Shiner,9305,5628,$4960.98,$750.80,$33.51,$10.25
495,67,37,"Malignant neoplasm of biliary tract, unspecified",806,327340,932,93,American Violet,6269,7447,$4501.21,$363.51,$42.48,$1.04
421,44,44,"Smith's fx left radius, subs for clos fx w delay heal",824,170224,58,73,On the Waterfront,10848,10636,$3729.96,$534.61,$35.84,$3.61
513,45,18,"Nondisp transverse fx shaft of l rad, 7thK",994,365962,111,69,Urban Cowboy,3779,1829,$1655.42,$481.49,$28.78,$1.33
316,88,34,"Hallucinations, unspecified",601,186788,209,68,Stormheart,1314,8193,$4749.83,$509.28,$33.26,$8.73
513,60,10,"Gestational edema, first trimester",14,443036,71,40,Brothers (Veljekset),4809,5707,$3575.11,$518.10,$50.00,$19.57
363,49,32,"Toxic effect of phosphorus and its compounds, acc, init",376,192441,842,65,"Polar Bear King, The (Kvitebjørn Kong Valemon)",1554,4084,$3236.97,$469.67,$45.19,$4.80
920,100,40,"Burn of first degree of left hand, unsp site, subs encntr",914,457475,344,78,Trek Nation,9332,3570,$4995.38,$282.34,$35.94,$9.07
146,84,50,"Non-ABO incompat react due to tranfs of bld/bld prod, unsp",530,326239,846,69,Occupant,10921,5595,$1811.41,$892.52,$47.40,$10.38
467,89,47,Occupant of 3-whl mv injured in collision w hv veh,184,237354,630,69,Beyond Re-Animator,2943,10162,$3521.57,$667.41,$48.23,$20.57
432,30,48,"Unsp open wound of right great toe w damage to nail, subs",190,287657,997,62,Driven to Kill,8302,4498,$1629.78,$875.73,$29.59,$10.27
516,31,14,"Lymphocy deplet Hdgkn lymph, nodes of ing rgn and lower limb",80,358965,196,66,Knute Rockne All American,5396,3747,$4917.99,$546.26,$47.37,$1.38
678,58,29,"Mtrcy passenger injured in clsn w ped/anml nontraf, sequela",398,318319,134,3,Spaceballs,6537,6807,$3203.03,$501.13,$34.77,$15.63
100,50,30,"Sprain of other ligament of right ankle, subs encntr",960,188981,228,15,Ratatouille,1078,6177,$3698.93,$477.04,$32.59,$9.30
574,62,27,Sltr-haris Type I physeal fx lower end of right femur,910,415224,61,77,Wild,3979,1390,$1308.41,$263.57,$33.29,$3.25
710,97,35,"Nondisp oblique fx shaft of l rad, 7thC",84,127007,336,15,Heimat - A Chronicle of Germany (Heimat - Eine deutsche Chronik),8494,8512,$1465.33,$10.29,$28.75,$15.04
797,73,40,"Blister (nonthermal) of unsp external genital organs, male",635,367030,283,93,Once in the Life,4243,9809,$3439.00,$324.00,$42.12,$2.78
266,2,41,Corrosion of unspecified degree of forehead and cheek,545,103912,342,18,"Mating Season, The",8506,10858,$4110.85,$731.14,$48.93,$17.08
207,43,16,"Major laceration of unsp pulmonary blood vessels, init",569,363612,188,74,These Three,9386,8438,$3695.33,$994.50,$33.68,$7.51
761,92,19,"Age-rel osteopor w current path fx, unsp femur, sequela",464,135603,834,12,Murder in Greenwich,8725,4450,$4927.86,$728.47,$39.19,$24.25
892,74,30,"Insect bite (nonvenomous), left lesser toe(s), sequela",749,303568,261,26,"Tree, The",3833,3499,$3951.73,$869.53,$25.48,$1.09
987,6,38,"Inj flexor musc/fasc/tend right thumb at forearm level, init",939,260050,981,26,Jesus of Nazareth,5861,2741,$2296.31,$641.81,$27.47,$16.65
164,46,50,"Unqualified visual loss, both eyes",273,208541,422,51,United,6648,1253,$4697.53,$342.90,$25.78,$17.15
830,94,24,"Retention of urine, unspecified",305,324894,690,69,Red Line 7000,8814,4235,$4459.55,$905.94,$43.53,$3.93
9,1,1,Discontinuity and dislocation of left ear ossicles,506,121849,800,91,Barefoot in the Park,7506,8518,$1181.32,$154.13,$32.75,$7.25
161,5,1,"Lacerat abd wall w fb, l upr q w/o penet perit cav, sequela",408,489584,104,47,Fatso,1642,3375,$1071.28,$321.23,$28.54,$4.00
571,24,15,Alternating exotropia with V pattern,992,349035,241,92,Illtown,8984,6432,$3749.61,$928.99,$43.01,$12.83
699,4,23,"Oth fx shaft of right ulna, subs for clos fx w nonunion",414,172782,44,36,Hard Candy,6275,7770,$4634.21,$594.36,$30.21,$24.39
630,50,23,"Infect/inflm reaction due to int fix of right femur, init",425,313561,770,81,Sex and the City,3994,6310,$2939.03,$653.13,$45.87,$4.95
904,55,7,Abscess of mediastinum,500,173942,604,52,"Eyes Without a Face (Yeux sans visage, Les)",9167,2959,$3511.99,$180.07,$29.29,$6.75
602,70,32,"Unsp subluxation of unspecified ulnohumeral joint, sequela",205,413239,281,91,Women Art Revolution,1389,4776,$1218.86,$485.60,$28.41,$16.74
825,84,31,"Nail entering through skin, subsequent encounter",583,183046,481,59,Tension,2221,9073,$3674.85,$171.96,$28.03,$8.51
547,16,32,"Inj extensor musc/fasc/tend l rng fngr at forarm lv, sequela",532,122195,828,15,Nobody's Children (I figli di nessuno),10256,3362,$4111.26,$970.67,$25.88,$8.30
445,91,26,"Oth comp of spinal and epidur anesth during preg, first tri",240,328134,733,33,Intruder in the Dust,9846,1380,$4178.05,$521.27,$27.04,$18.77
353,10,27,"Nontraumatic intracerebral hemorrhage, multiple localized",32,295609,391,19,Berlin Calling,10154,10084,$1798.65,$108.73,$26.77,$3.35
148,52,39,"Sprain of interphalangeal joint of other finger, init encntr",330,454625,639,31,Jack Frost,2607,2383,$3937.35,$840.55,$35.30,$19.95
989,32,1,"Circumvallate placenta, third trimester",943,411461,966,60,Wild Tales,8524,6340,$2588.59,$984.03,$31.95,$2.83
165,1,22,Strain of intrns musc/fasc/tend r mid finger at wrs/hnd lv,141,145224,49,56,Diplomatic Immunity (2009– ),5513,7838,$3205.56,$911.78,$47.22,$8.91
85,1,40,"Body mass index (BMI) 40.0-44.9, adult",125,346892,127,77,In the Hands of the Gods,4689,10379,$4139.74,$768.08,$40.72,$6.31
385,87,29,"Other reactive arthropathies, left hip",715,444063,476,37,False as Water (Falsk som vatten),4384,1183,$4530.59,$832.29,$33.86,$9.69
402,64,6,"Malignant neoplasm of male genital organ, unspecified",819,177264,371,58,Maverick,1774,3350,$2573.29,$802.79,$42.66,$13.10
698,94,22,Burn of third degree of wrist and hand,529,243870,351,44,Scorned,7394,9305,$1737.29,$155.89,$45.58,$4.85
224,83,19,"Sltr-haris Type III physl fx upper end humer, r arm, 7thG",421,228852,128,4,"Rookie, The",7258,4531,$3258.38,$925.40,$26.76,$24.36
375,28,43,"Poisn by oth agents aff the cardiovasc sys, assault, subs",495,117623,330,15,Troma's War ,4980,9080,$1968.97,$89.76,$43.38,$11.79
805,49,19,"Age-rel osteopor w current path fracture, unsp low leg, init",139,103941,315,28,About Last Night,5360,7039,$1078.25,$416.63,$31.80,$19.79
599,96,4,"Displaced bimalleol fx r low leg, init for opn fx type I/2",103,156910,248,66,Ironclad 2: Battle for Blood,8420,3171,$1909.31,$548.66,$26.18,$13.79
432,28,43,Other superficial bite of oral cavity,692,323550,744,91,Madonna of the Seven Moons,7803,1888,$3242.59,$559.18,$31.42,$15.46
591,61,30,"Cont preg aft spon abort of one fts or more, first tri, fts1",358,188582,742,34,Twice in a Lifetime,9882,7661,$2867.28,$458.71,$44.51,$23.48
262,97,31,"Unsp inj great saph at hip and thi lev, unsp leg, sequela",666,196402,979,99,Duel,9800,1396,$3168.44,$300.18,$25.49,$14.19
562,51,12,"Inj blood vessels at abdomen, low back and pelvis level",174,398599,961,18,Resurrecting the Champ,4288,7482,$1678.70,$555.17,$27.67,$20.85
892,83,6,"Spontaneous rupture of flexor tendons, left ankle and foot",119,101361,814,73,Straw Dogs,8168,4051,$4799.91,$712.06,$36.26,$19.95
410,48,34,Enctr for prphylc immther for resp syncytial virus (RSV),317,139019,932,56,All the Mornings of the World (Tous les matins du monde),8084,5567,$3017.55,$13.98,$35.20,$4.65
427,73,15,"Toxic effect of taipan venom, intentional self-harm",296,408133,373,66,Wadd: The Life & Times of John C. Holmes,7417,9318,$2454.79,$803.99,$26.31,$22.55
