salesOrderDetailId,baseAmount,stateCode,baseAmountBase,description,requestDeliveryBy,salesOrderId,lineItemNumber,productId,quantity,ouMid,pricePerUnit,pricePerUnitBase,tax,taxBase
438,236,,46,"Matern care for known or susp placntl insuff, 2nd tri, oth",2015/06/30,823,482754,782,78,"Place in the Sun, A (En plats i solen)",$810.69,$350.17,39,20
830,413,,257,"Toxic effect of venom of other arthropod, assault",2017/02/17,169,357963,357,34,Boom!,$615.72,$35.82,41,17
355,379,,236,"Contusion of penis, initial encounter",2016/07/11,353,266420,46,33,"Battle of Algiers, The (La battaglia di Algeri)",$521.30,$71.26,25,19
384,216,,86,"Unspecified complication of procedure, initial encounter",2016/01/23,502,288854,697,82,"Presence, The",$732.01,$322.29,36,23
606,356,,70,Contusion of unspecified thumb with damage to nail,2015/01/09,506,340882,514,23,Who Framed Roger Rabbit?,$724.31,$379.97,37,5
957,60,,371,"Injury of unsp nerve at hip and thigh level, left leg, init",2017/02/06,720,413135,443,62,Money Train,$950.48,$42.00,28,13
69,7,Aveiro,472,Toxic effects of benzene,2018/04/20,572,415594,60,84,Agnes of God,$724.60,$168.27,49,20
899,154,,170,"Unsp mtrcy rider inj pick-up truck, pk-up/van in traf, init",2017/06/26,816,290762,540,54,"First Case, Second Case (Ghazieh-e Shekl-e Aval, Ghazieh-e Shekl-e Dou Wom)",$957.81,$265.82,48,8
219,132,,257,"Laceration w foreign body of unsp part of neck, init encntr",2015/03/19,657,162512,202,6,Highway ,$828.18,$12.40,49,15
13,188,,442,"Chronic hepatitis, unspecified",2016/08/29,972,454178,996,19,Troy,$848.63,$113.76,39,24
305,225,Champagne-Ardenne,395,"Maternal care for damage to fetus from alcohol, unsp",2016/12/31,608,124302,329,86,Triage,$736.74,$118.29,48,7
861,255,,420,Alveolar proteinosis,2018/02/28,321,285682,31,45,Bedazzled,$596.69,$268.08,36,14
276,164,,368,"Adult physical abuse, suspected, initial encounter",2015/01/07,97,141140,877,70,Full Moon High,$908.18,$41.41,27,24
847,429,Canarias,364,"Underdosing of hydantoin derivatives, initial encounter",2017/09/09,770,438802,74,17,Evil (Ondskan),$873.42,$46.39,25,5
65,7,,489,Unspecified blepharitis,2017/02/01,534,333045,634,4,Gentlemen Broncos,$753.28,$435.34,28,3
569,162,,97,"Other serum reaction due to vaccination, initial encounter",2018/09/01,658,139608,326,73,Chaos (Kaosu),$983.20,$158.70,44,14
719,412,,131,Private garage of single-family (private) house as place,2016/12/02,295,259080,224,34,Aurora,$834.87,$214.39,33,6
724,247,,429,"Inj cutan sensory nerve at lower leg level, right leg, init",2018/02/20,214,170455,21,69,One Crazy Summer,$996.29,$20.05,34,24
153,363,,42,"Sprain of oth parts of unspecified shoulder girdle, sequela",2016/08/24,191,489706,602,95,"Real Cancun, The",$584.43,$482.99,34,7
1,410,,278,Pain in left hip,2016/02/18,961,483335,783,6,"Dinner, The (Cena, La)",$705.59,$220.67,32,21
948,403,Västra Götaland,115,"Granulation of postmastoidectomy cavity, right ear",2016/06/30,702,431757,278,93,Enduring Love,$787.46,$385.61,30,16
913,62,,195,"Struck by turkey, subsequent encounter",2015/10/30,281,383432,395,12,Ciao Manhattan (Ciao! Manhattan),$936.29,$482.30,39,6
517,408,New York,267,"Displ seg fx shaft of unsp tibia, 7thE",2016/09/20,931,233643,420,29,Underground: The Julian Assange Story,$683.35,$90.15,30,9
364,409,,414,"Toxic eff of fluorine gas and hydrogen fluoride, undet, init",2017/08/02,2,191378,522,51,Samurai Spy (Ibun Sarutobi Sasuke),$983.82,$128.02,44,1
440,328,,415,"Ped on foot injured in collision w pedl cyc, unsp, sequela",2016/03/15,106,266206,154,94,Balance,$542.75,$198.83,29,11
117,55,Coimbra,295,"Toxic effect of phosphorus and its compounds, undet, init",2016/06/15,767,340978,129,68,Dialogues with Solzhenitsyn (Uzel),$537.43,$494.58,41,20
401,138,,488,Anterior scleritis,2018/02/13,622,264996,685,82,Fled,$875.21,$241.27,36,23
941,112,,165,Contusion of left back wall of thorax,2017/10/01,778,295881,685,33,"Scar, The (Blizna)",$527.47,$351.36,31,19
711,372,,262,"Pnctr w fb of l bk wl of thorax w/o penet thor cavity, sqla",2017/05/09,699,461548,487,100,Pickpocket,$581.45,$445.12,31,10
66,19,,207,Contact w and exposure to hazardous aromatic compounds,2017/03/11,730,456399,578,2,Täynnä Tarmoa,$923.08,$115.84,45,21
8,179,,284,"Nondisp fx of prox phalanx of unsp less toe(s), 7thP",2016/02/19,286,462664,118,8,Redbelt,$955.11,$432.14,28,20
596,244,,136,Other fracture of lower end of unspecified tibia,2016/02/29,10,313686,449,23,Hitman,$749.67,$46.80,46,1
547,320,,292,"Unsp fracture of T7-T8 vertebra, subs for fx w routn heal",2016/06/07,744,255027,686,88,Osmosis (Osmose),$976.57,$296.09,44,2
278,205,,344,"Anogenital herpesviral infection, unspecified",2017/09/27,911,303285,5,77,Swedish Auto,$914.29,$384.48,34,25
441,437,,51,"Nondisp fx of olecran pro w/o intartic extn l ulna, 7thR",2018/03/27,161,326861,416,54,Getting to Know You,$837.23,$10.43,45,17
956,27,,425,"Nondisp fx of unspecified radial styloid process, sequela",2017/07/13,462,251850,254,92,11-11-11 (11-11-11: The Prophecy),$663.70,$396.86,27,24
113,216,,175,"Oth nonpowered-aircraft accidents injuring occupant, subs",2018/01/28,17,170517,816,29,Gold Diggers of 1937,$797.13,$278.21,29,12
116,347,Rhône-Alpes,149,"Leakage of other nervous system device, implant or graft",2017/04/07,190,497002,230,82,On the Beach,$624.99,$269.99,33,25
840,298,,491,Jump/div into natural body of water striking water surface,2017/06/30,810,318741,327,39,My Soul to Take,$745.04,$308.00,32,25
327,104,,479,"Legal intervnt w unsp sharp objects, law enforc offl injured",2016/03/22,27,211992,618,58,Diary of a Wimpy Kid,$990.56,$106.24,49,25
896,292,,39,Genetic carrier,2015/10/22,227,321433,917,58,"Bûche, La",$530.66,$148.88,36,10
39,13,,20,Laceration with foreign body of finger with damage to nail,2016/09/14,572,199086,654,64,Ellen DeGeneres: The Beginning,$935.97,$276.22,34,12
588,486,,369,"Corrosion of first degree of left shoulder, subs encntr",2016/07/05,544,356137,282,38,Middle Men,$796.82,$195.13,47,13
64,345,,20,"Infect/inflm reaction due to internal r knee prosth, init",2018/06/23,467,176328,289,88,Rudderless,$648.66,$175.65,28,23
959,242,,205,"Sublux of unsp interphaln joint of l mid finger, sequela",2016/07/15,824,109668,140,74,"Short Film About Killing, A (Krótki film o zabijaniu)",$895.03,$44.14,28,11
742,277,,157,"Nondisp fx of 2nd metatarsal bone, r foot, init for opn fx",2016/12/26,939,423400,278,79,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie),$687.67,$109.47,30,2
365,269,,428,"Underdosing of unspecified psychotropic drug, init encntr",2016/10/11,940,216139,581,85,Secret Ballot (Raye makhfi),$614.29,$486.82,33,22
447,355,,315,Congenital malformations of salivary glands and ducts,2017/06/24,919,417808,193,24,"Majority of One, A",$967.33,$174.65,31,14
626,76,,155,"Strain unsp musc/fasc/tend at thi lev, right thigh, sequela",2018/03/21,782,468683,303,69,Warrendale,$675.19,$65.12,25,18
994,424,Tamaulipas,430,Underdosing of skeletal muscle relaxants,2015/08/14,506,358198,446,96,Portraits Chinois,$758.06,$265.46,26,6
553,224,,459,"Superficial foreign body of right index finger, subs encntr",2018/09/01,443,390689,351,82,Amar Akbar Anthony,$721.39,$102.26,31,7
505,327,,400,"Poisoning by oth systemic anti-infect/parasit, undetermined",2018/06/16,889,416817,676,33,Baghban,$857.47,$169.85,41,22
216,193,,329,"Other osteonecrosis, other site",2015/06/14,868,129043,931,63,Sweet November,$905.71,$413.04,33,3
810,190,,411,"Nondisplaced spiral fracture of shaft of unsp fibula, init",2017/04/11,643,228884,343,49,"Bachelor, The",$742.31,$85.27,42,4
436,468,,111,"Algoneurodystrophy, right thigh",2017/04/11,771,255958,739,19,For the Love of Movies,$672.82,$183.94,42,22
336,354,,111,"Strain of unsp musc/fasc/tend at forarm lv, unsp arm, init",2017/06/14,938,317956,724,56,Pigs,$837.54,$470.46,46,10
950,484,,254,"Laceration w/o foreign body of unsp part of neck, subs",2015/03/25,895,496087,959,5,Tommy,$994.18,$115.11,35,8
335,252,,93,Malignant neoplasm of descending colon,2017/02/02,672,330151,811,98,Ronin,$633.14,$140.29,39,20
915,434,New York,252,"Strain of muscle, fascia and tendon of lower back",2017/02/23,37,239784,180,42,Berserk: The Golden Age Arc 2 - The Battle for Doldrey,$520.75,$137.58,46,7
349,144,,158,Ntrm subarach hemor from unsp posterior communicating artery,2015/09/03,258,274852,102,72,Catch and Release,$609.80,$289.36,34,8
81,29,,181,"Asphyxiation due to hanging, assault, sequela",2016/01/20,520,353633,335,69,"Place Called Chiapas, A",$818.42,$177.25,42,11
546,428,,131,Abnormal head movements,2018/05/16,380,221609,939,96,Mar Baum,$998.18,$134.58,45,22
452,424,,417,"Crepitant synovitis (acute) (chronic), left hand",2017/01/01,591,170411,901,18,"Young and Prodigious T.S. Spivet, The (L'extravagant voyage du jeune et prodigieux T.S. Spivet)",$994.52,$214.50,41,8
634,65,,483,Oth diabetes mellitus w diabetic autonomic (poly)neuropathy,2017/06/29,528,352474,847,95,Naked Weapon (Chek law dak gung),$998.11,$236.75,48,22
495,495,,246,"Primary blast injury of ear, bilateral",2017/10/25,941,297303,770,58,Rush: Beyond the Lighted Stage,$962.76,$254.86,28,2
516,320,,295,"Nondisp fx of med phalanx of l less toe(s), 7thK",2017/07/21,164,377377,555,31,"Great Beauty, The (Grande Bellezza, La)",$504.42,$454.07,41,21
549,483,,156,"Unsp injury of ulnar artery at forearm level, left arm",2017/04/12,631,267650,274,45,Twin Sisters (De tweeling),$802.78,$218.34,34,24
405,329,,95,"Oth private fixed-wing aircraft fire injuring occupant, subs",2017/08/20,527,171933,175,71,Bloody Birthday,$986.45,$350.85,39,7
863,262,Stockholm,159,"Nondisp fx of distal phalanx of other finger, sequela",2016/01/02,560,453183,6,40,"Iron Giant, The",$965.55,$131.16,41,9
895,31,,158,"Corros second degree of unsp mult fngr, not inc thumb, init",2016/03/10,983,435089,41,85,Michael Laudrup - en Fodboldspiller,$551.71,$206.42,42,4
300,206,Lorraine,132,Extravasation of vesicant agent,2016/03/02,86,178469,804,55,"Tin Drum, The (Blechtrommel, Die)",$501.42,$116.89,47,23
135,186,,422,"Abrasion, right ankle, sequela",2017/05/03,234,265146,32,26,Krrish 3,$710.90,$476.36,37,17
447,312,,323,Encntr screen for malignant neoplasm of genitourinary organs,2017/11/28,156,198179,109,17,Music and Lyrics,$709.61,$471.84,28,14
459,445,,340,"Poisoning by antithrombotic drugs, assault",2016/11/11,692,492818,932,72,Mudhoney,$770.98,$438.88,44,9
815,282,,257,"Legal intervention involving manhandling, bystander injured",2016/09/14,264,170862,531,51,Red White & Blue,$636.79,$265.33,29,23
996,67,,460,"Poisoning by emetics, accidental (unintentional), init",2018/04/18,223,151140,192,48,Wild America,$881.52,$271.59,33,7
890,349,,407,"Subluxation of MCP joint of left index finger, sequela",2015/10/31,927,219544,264,30,Heart of Glass (Herz aus Glas),$557.41,$274.37,27,5
563,257,,350,"Unsp fracture of right ilium, subs for fx w routn heal",2018/06/24,244,468501,164,73,Someone Like Him (Einer wie Bruno),$513.41,$24.14,46,21
433,342,,331,"Abscess of bursa, hand",2015/02/17,109,231448,580,76,Escape from Suburbia: Beyond the American Dream,$913.02,$271.77,50,22
252,258,,230,"Contact w oth sharp object, undetermined intent, subs encntr",2015/08/22,201,129808,902,100,Shinobi: Heart Under Blade,$782.86,$457.67,46,16
873,167,Provincie Friesland,60,"Coxa plana, left hip",2015/10/01,39,356251,278,71,Jimmy Neutron: Boy Genius,$535.90,$48.95,44,21
746,213,,328,"Inj msl/fasc/tnd post grp at thi lev, unsp thigh, sequela",2016/07/27,130,155483,473,96,Between Miracles,$593.59,$197.50,50,24
689,33,,442,Benign neoplasm of connective and oth soft tissue of thorax,2017/05/21,8,103621,600,14,"White Shadow, The",$786.57,$104.26,36,19
372,479,Alberta,325,Strain of extensor musc/fasc/tend r idx fngr at forarm lv,2016/08/18,503,355908,791,49,Benigni,$908.11,$264.37,26,20
71,304,,406,"Panniculitis aff regions, neck/bk, multiple sites in spine",2017/06/13,407,207794,230,74,The Man Who Loved Yngve,$809.98,$20.29,35,11
379,53,,268,Atherosclerosis of CABG w unstable angina pectoris,2015/01/09,487,145366,902,77,Iron Man: Rise Of Technovore,$522.47,$372.80,27,4
222,169,,169,"Unspecified firearm discharge, undetermined intent",2017/12/22,712,260563,171,94,"Music Man, The",$551.15,$244.47,49,16
805,244,,292,"Displaced fracture of lunate, left wrist, sequela",2015/07/23,195,151011,571,76,Humanoids from the Deep,$563.76,$67.03,48,19
117,352,,349,"Oth injury of left middle and inner ear, subs encntr",2017/03/24,16,190417,328,34,One Lucky Elephant,$803.35,$398.39,49,7
85,456,,101,Laceration of other blood vessels at forearm level,2016/07/23,440,321059,250,4,Game Over: Kasparov and the Machine,$981.52,$60.67,34,15
695,480,Provincie Noord-Holland,94,"Viral intestinal infection, unspecified",2018/06/02,99,377581,705,29,Unprecedented: The 2000 Presidential Election,$976.16,$234.78,48,17
251,306,,320,"Displ suprcndl fx w intrcndl extn low end r femr, 7thP",2018/06/02,502,458596,855,59,貞子3D,$974.76,$436.18,50,17
73,410,Lisboa,371,Skin changes due to chronic expsr to nonionizing radiation,2016/11/08,957,190772,347,61,Delicatessen,$612.32,$233.40,26,25
617,24,Halland,175,"Nondisp fx of nk of 1st MC bone, r hand, 7thP",2017/11/24,623,121426,202,34,Disaster Movie,$532.18,$142.34,39,23
195,245,Île-de-France,247,"Abrasion of unspecified back wall of thorax, sequela",2015/02/03,852,151289,164,10,Knick Knack,$732.22,$231.47,28,21
799,119,Västra Götaland,83,"Prsn brd/alit a car inj in clsn w nonmtr vehicle, sequela",2017/12/28,84,166207,97,39,Less of Sugar (Cheeni Kum),$940.38,$498.36,39,6
51,355,,225,"Sltr-haris Type III physl fx low end ulna, unsp arm, 7thD",2018/08/14,359,235422,49,82,Hickey and Boggs,$703.04,$344.68,25,22
987,188,Lisboa,417,Corrosion of third degree of left elbow,2015/11/17,574,303977,363,88,Solas,$865.04,$441.55,35,19
68,440,,40,Pulmonary hemorrhage originating in the perinatal period,2018/05/14,958,476564,751,32,"Family Tree, The",$997.58,$3.52,46,18
610,302,,381,"Radiation sickness, unspecified",2018/03/20,888,398485,363,42,Smokin' Aces 2: Assassins' Ball,$832.73,$376.01,38,13
419,27,,25,"Lacerat blood vessels at lower leg level, left leg, init",2018/09/02,646,457144,684,12,"Monster, The (Mostro, Il)",$704.86,$280.40,31,10
438,270,,466,"External constriction of part of throat, initial encounter",2015/06/13,664,475800,366,50,Deserter (Dezertir),$698.47,$379.47,28,2
571,258,,386,"Unsp injury of unsp blood vess at hip and thi lev, unsp leg",2015/07/31,13,271074,410,32,Sheitan,$555.96,$479.13,48,14
103,141,,492,Benign neoplasm of floor of mouth,2018/08/29,567,435745,950,6,Happy New Year,$601.36,$331.28,44,17
57,72,,140,"Pathological fracture, left toe(s), subs for fx w routn heal",2017/01/17,841,385058,401,66,Lakeboat,$865.85,$21.96,49,16
73,76,,446,"Other dislocation of right radial head, initial encounter",2016/07/17,746,424500,664,29,Old Yeller,$584.61,$199.03,47,20
758,445,Tennessee,251,"Displ commnt fx shaft of ulna, r arm, 7thF",2016/12/25,464,427224,788,29,"Defender, The",$837.94,$463.35,47,7
176,42,,58,"Sprain of other parts of lumbar spine and pelvis, sequela",2016/11/19,632,210800,484,34,In Search of a Midnight Kiss,$921.18,$66.01,40,25
4,432,,86,"Milt op involving explosion of depth-charge, milt, sequela",2018/04/09,484,281482,666,70,Murder by Proxy: How America Went Postal,$821.22,$164.14,37,22
495,202,,498,"Retained (old) magnetic foreign body in lens, unsp eye",2018/01/12,521,319034,665,73,"Corsican File, The (L'enquête corse)",$518.71,$333.27,28,18
25,203,British Columbia,335,Acute and subacute hemorrhagic leukoencephalitis [Hurst],2018/04/19,168,415509,498,22,Journey to the Far Side of the Sun (a.k.a. Doppelgänger),$595.60,$120.97,33,20
171,246,,410,"Skin donor, unspecified",2016/05/15,974,492160,951,97,Personal Velocity,$574.50,$410.70,42,25
651,201,,92,Malignant neoplasm of urachus,2015/01/02,986,256167,266,71,"Revenge of Frankenstein, The",$512.15,$4.53,31,4
570,480,,288,Direct infct of knee in infec/parastc diseases classd elswhr,2017/07/24,239,392170,252,92,Ricky Gervais Live 3: Fame,$564.75,$269.16,35,14
986,86,,189,"Bitten by raccoon, initial encounter",2017/04/02,20,374312,14,10,"Program, The",$606.91,$246.97,35,8
89,351,,56,"Nondisp fx of third metatarsal bone, unsp foot, init",2015/12/08,849,196670,674,44,Gold Diggers of 1933,$834.94,$285.93,42,6
132,178,,289,"Disp fx of greater tuberosity of unsp humerus, init",2018/08/19,161,285202,819,54,Gaby: A True Story,$790.17,$412.46,25,24
220,188,,337,"Unspecified superficial injury of left shoulder, sequela",2015/07/06,387,453200,408,58,Little Children,$869.48,$403.18,47,22
240,174,,480,"Driver of pk-up/van inj in clsn w oth mv in traf, sequela",2016/03/08,923,171934,951,21,Mars Attacks!,$666.65,$204.51,47,9
742,74,,71,"Physeal arrest, femur, unspecified",2015/08/03,299,428600,741,3,Dangerous,$540.36,$351.14,35,8
894,254,,141,"Diab with moderate nonp rtnop without macular edema, unsp",2015/03/30,299,449070,414,87,Clueless,$908.47,$326.89,49,7
350,221,,357,"Contact with sword or dagger, undetermined intent",2016/06/22,159,462373,511,41,Somersault,$503.18,$485.70,47,20
689,452,,483,Malignant neoplasm of gum,2016/12/09,991,246200,324,35,"Business, The",$581.33,$381.22,44,5
746,9,Virginia,203,"Other cervical disc disorders, mid-cervical region",2017/08/28,627,126131,223,87,House of Wax,$911.01,$220.90,26,21
609,284,,279,"Driver of hv veh inj in clsn w nonmtr vehicle nontraf, init",2015/07/05,707,128179,653,88,"Music Never Stopped, The",$664.35,$26.83,25,11
258,242,,397,"Displaced pilon fracture of left tibia, sequela",2016/07/04,464,219111,683,77,How to Survive a Plague,$519.88,$212.84,39,25
12,125,,280,"Explosn of mine place dur war op but expld aft, milt, sqla",2018/08/05,842,254632,66,96,Dancing in the Rain (Ples v dezju),$714.17,$319.80,45,20
410,443,,245,"Contusion of right little finger w damage to nail, subs",2018/07/28,784,403960,818,34,"Onion Movie, The",$609.27,$492.75,47,15
268,30,,98,Other specified hyperalimentation,2017/09/04,20,161675,422,78,Romance on the High Seas,$989.12,$43.38,32,4
86,309,,14,Corros unsp degree of unsp single finger (nail) except thumb,2015/11/21,348,340289,674,57,"Men, Women & Children",$858.18,$486.12,37,15
762,324,,335,"Unspecified adhesions of iris, bilateral",2017/09/04,527,346106,219,49,Simon & the Oaks,$924.85,$207.82,43,20
249,199,,192,Hematocolpos,2018/01/19,294,375208,560,35,1408,$988.64,$488.20,36,11
795,34,,205,Assault by hunting rifle,2016/09/03,388,228880,96,13,High on Crack Street: Lost Lives in Lowell,$943.83,$259.36,26,24
903,316,,176,Therapeutic and rehab orthopedic devices assoc w incdt,2016/01/18,252,269637,915,42,"Good Job:  Stories of the FDNY, A",$624.04,$105.58,50,22
470,419,,108,"War op w intentl restrict of air/airwy, civilian, init",2015/10/29,788,485400,296,31,Men Cry Bullets,$711.29,$436.60,37,2
957,329,,91,"Greenstick fx shaft of right ulna, subs for fx w malunion",2016/06/20,465,243527,244,88,"White Balloon, The (Badkonake sefid)",$594.38,$138.39,38,12
642,483,,112,Hypercarotinemia,2016/11/13,505,387246,107,6,My Geisha,$759.26,$152.66,45,16
346,299,,55,"Disp fx of nk of 1st MC bone, l hand, 7thD",2015/04/17,686,348632,835,25,Glen or Glenda,$843.28,$50.72,29,11
373,192,,12,"Post displ Type II dens fracture, subs for fx w nonunion",2015/10/11,24,164578,677,39,Save the Date,$567.48,$145.09,45,21
552,276,Porto,242,"Major osseous defect, left hand",2017/08/21,305,424456,467,37,"What's in a Name (Prénom, Le)",$756.58,$147.15,48,4
844,167,,363,"Osteopathy after poliomyelitis, left lower leg",2017/10/10,957,258968,331,69,Karate-Robo Zaborgar (Denjin Zabôgâ),$804.03,$336.86,37,9
111,155,,306,"Breakdown (mechanical) of urinary devices and implants, init",2016/10/22,196,379850,433,20,Helsinki Napoli All Night Long,$645.18,$168.96,38,4
831,163,,326,"Disp fx of epiphy (separation) (upper) of l femr, 7thD",2017/06/14,742,369193,872,15,Souls for Sale,$868.21,$62.54,34,2
389,285,Texas,93,"Subluxation of carpometacarpal joint of left hand, sequela",2017/04/18,585,426953,740,44,Platinum Blonde,$856.61,$166.92,41,13
182,47,,27,"Lead-induced gout, left hand",2017/08/06,478,183687,366,17,Marvel One-Shot: Item 47,$536.50,$88.35,25,16
129,311,Sabah,154,"Nondisp bicondylar fx l tibia, subs for clos fx w delay heal",2016/03/17,255,360905,266,43,Expelled,$821.60,$82.49,44,21
878,16,Île-de-France,365,"Driver of sp off-rd mv injured in nontraffic accident, subs",2016/03/02,913,244044,244,93,Games People Play: New York,$518.97,$392.15,48,12
397,370,,311,"Other fall on same level, sequela",2016/05/31,894,272009,324,21,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),$794.12,$363.54,29,17
340,183,Provincie Flevoland,331,"Exposure of other implanted mesh into organ or tissue, subs",2015/05/11,775,337128,561,66,Iceman,$876.40,$210.65,26,7
26,97,,66,Corrosion of second degree of elbow,2016/10/05,309,259809,961,88,Guardians of the Galaxy,$814.83,$472.84,36,6
382,428,,95,"Disp fx of olecran pro w/o intartic extn unsp ulna, 7thN",2017/02/22,587,448170,783,6,The Hornet's Nest,$684.97,$197.87,35,2
429,281,,459,"Miscellaneous radiological devices assoc w incdt, NEC",2016/06/08,131,207022,944,10,Tiny Toon Adventures: How I Spent My Vacation,$550.56,$348.59,41,16
967,487,,482,"Nondisp fx of lateral cuneiform of unsp ft, 7thP",2016/05/03,654,129594,530,29,"Food, Inc.",$613.79,$339.59,33,9
795,318,,155,Fall into natural body of water striking water surface,2017/08/27,629,458627,147,50,Lovely & Amazing,$863.90,$200.51,35,6
625,412,,342,Burns of 60-69% of body surface w 50-59% third degree burns,2017/07/28,726,160641,398,18,The Fuller Brush Man,$836.80,$223.50,48,13
242,274,,412,Prostatic intraepithelial neoplasia,2016/11/27,453,494248,661,20,Someone Else's America,$953.87,$422.10,32,9
399,435,,466,"Conductive hearing loss, unspecified",2015/11/01,250,150195,418,61,"She No Longer Talks, She Shoots",$723.44,$177.19,42,14
46,48,,448,Other water transport accident,2017/02/01,362,391940,694,84,The Walking Stick,$993.88,$77.19,41,2
543,496,Braga,106,"Fall on or from playground slide, initial encounter",2015/06/15,776,105224,451,15,Conversations with Other Women,$795.74,$452.23,27,8
309,111,,457,Athscl native cor art of transplanted heart w ang pctrs,2017/06/08,37,479044,3,17,"Spanish Prisoner, The",$959.39,$124.64,32,13
782,63,,267,"Displ commnt fx shaft of l femr, subs for clos fx w malunion",2016/04/21,802,260880,710,41,"Last of England, The",$530.10,$2.24,39,23
426,244,,228,"Unsp open wound of left little finger w damage to nail, init",2015/11/04,351,392631,300,96,Narc,$581.79,$111.19,31,17
665,112,Stockholm,42,"Intermittent hydrarthrosis, shoulder",2015/05/20,158,411673,831,31,Here Comes Mr. Jordan,$659.46,$123.14,35,19
893,451,,379,Monoplegia of upper limb affecting unspecified side,2018/08/19,559,451331,233,94,Delirium,$961.77,$251.83,38,1
495,237,Emilia-Romagna,418,"Cutaneous T-cell lymphoma, unspecified",2017/06/19,87,349949,577,4,Ransom,$515.34,$10.14,49,15
141,224,,75,"Penetrating wound of orbit w or w/o fb, right eye, subs",2015/04/27,477,270318,895,35,Burlesque,$926.38,$180.78,37,5
