productId,createdOn,name,defaultUoMid,description,productTypeCode,stateCode
584,2018-11-19,Bitwolf,Happy Go Lovely,"Inj musc/fasc/tend at wrist and hand level, unsp hand",57955-5151,
290,2015-01-22,Alpha,The Outsider,"Dislocation of L2/L3 lumbar vertebra, initial encounter",51672-4035,
585,2015-11-06,Zamit,Captain America,"Sedative, hypnotic or anxiolytic abuse w intoxication, unsp",0264-7616,
121,2019-04-03,Lotstring,Sharky's Machine,"Cystic meniscus, anterior horn of lateral meniscus",0409-2596,216282
527,2016-01-23,Tin,House Party 2,"Intermittent hydrarthrosis, left hand",65862-041,347252
503,2015-02-02,Alpha,"Class Trip, The (La classe de neige)",Malignant neoplasm of unspecified upper limb,0268-1106,
152,2016-11-11,Holdlamis,Into the Blue 2: The Reef,"Goniosynechiae, unspecified eye",51879-110,
755,2018-12-04,Zathin,Mirage Men,"Otitis media, unspecified, right ear",11291-070,
691,2016-01-05,Ventosanzap,Dragon Eyes,"Sltr-haris Type II physl fx low end unsp fibula, 7thK",61957-1320,352857
970,2016-12-18,Bitchip,Street Fighter: Assassin's Fist,Nondisplaced fracture of distal phalanx of other finger,28595-780,607676
755,2020-04-03,Duobam,Three to Tango,"Scotoma involving central area, bilateral",49643-105,413028
87,2020-02-13,Namfix,A-Haunting We Will Go,"Displ transverse fx shaft of l tibia, 7thD",24909-108,
651,2019-12-30,Y-Solowarm,Paris Blues,"Other physeal fracture of left metatarsal, 7thG",0264-7730,
588,2019-07-28,Rank,Ichi the Killer (Koroshiya 1),Insect bite (nonvenomous) of anus,65044-5010,
795,2019-07-13,Lotstring,Falling in Love Again,"Complete transverse atyp femoral fracture, left leg, 7thG",63629-3210,
721,2016-10-10,Zathin,My Future Boyfriend,"Unsp fx unsp forearm, subs for opn fx type 3A/B/C w malunion",10006-002,
517,2018-11-18,Home Ing,Pulse,"Unsp Zone III fracture of sacrum, init for clos fx",53808-0916,
239,2016-04-27,Tempsoft,"Bride Comes Home, The","Skeletal fluorosis, unspecified site",0062-0275,1112
786,2018-09-12,Bamity,Stolen,"Other secondary chronic gout, knee",42507-425,055038
918,2017-05-14,Sonair,Fast Food Nation,"Breakdown of int fix of bones of hand and fingers, init",33261-804,
317,2020-01-11,Daltfresh,Wild Oranges,"Unspecified fracture of second metacarpal bone, right hand",0026-3786,P17
882,2016-02-02,Bigtax,Arsenal,"Other specified disorders of tympanic membrane, bilateral",10237-816,790 70
374,2016-10-19,Ronstring,Dear God,Other specified peripheral vascular diseases,52304-712,
850,2020-02-01,Bigtax,Town Without Pity,Hemiplga following cerebral infrc aff right nondom side,0069-0078,
135,2020-08-23,Matsoft,Z Channel: A Magnificent Obsession,Genitl trct and pelvic infection fol incmpl spon abortion,62037-675,
293,2018-01-18,Hatity,Playing by Heart,"Unsp injury of blood vessel of left thumb, subs encntr",52959-676,
905,2015-08-16,Ronstring,With Fire and Sword (Ogniem i mieczem),"Displ transverse fx shaft of unsp femr, 7thE",42876-003,J9P
711,2015-12-26,Flowdesk,Act of Violence,Galactorrhea not associated with childbirth,0615-7679,
911,2019-09-30,Subin,Ride,"Displ seg fx shaft of r tibia, init for opn fx type 3A/B/C",51621-047,
927,2015-08-21,Ventosanzap,Mickey Blue Eyes,Oth and unsp malignant neoplasm of overlapping sites of skin,36987-1176,MD-4901
884,2018-05-20,Biodex,Angels in the Outfield,"Intentional self-harm by unsp sharp object, subs encntr",76237-235,
923,2018-03-14,Ronstring,Anna,"Breakdown of int fix of bone of l low leg, sequela",21130-557,45140
69,2017-03-11,Bigtax,Valiant,Other primary hyperaldosteronism,52125-606,
755,2018-06-21,Mat Lam Tam,Nina's Heavenly Delights,"Unsp inj musc/tend post grp at low leg level, unsp leg, init",64942-1221,2005-033
436,2018-12-29,Flowdesk,Lana Turner... a Daughter's Memoir,"Nondisp transverse fx shaft of r femr, 7thM",0186-1073,9625-325
120,2018-11-13,Y-Solowarm,Passion of Love (Passione d'amore),"Injury of cutan sensory nerve at forarm lv, unsp arm, init",76472-1157,50320
301,2020-07-26,Ventosanzap,Private Lives,Other atresia and stenosis of urethra and bladder neck,0485-0208,665161
325,2015-10-17,Stim,"Nick Carter, Master Detective",Unspecified fracture of shaft of fibula,53807-422,32560
454,2020-03-10,Hatity,"Core, The","Legal intervention, means unsp, suspect injured, subs encntr",42957-002,
525,2016-06-12,Bitchip,Legend of the Lost,Underdosing of salicylates,54569-0561,
992,2016-12-01,Otcom,Spring,"Toxic effect of ethanol, accidental (unintentional)",64980-104,
349,2016-09-20,Solarbreeze,"Little Indian, Big City (Un indien dans la ville)","Radial collateral ligament sprain of unsp elbow, subs encntr",11822-1120,
332,2018-11-30,Veribet,Krull,"Unsp injury at C7 level of cervical spinal cord, subs encntr",49743-3001,41340
415,2019-08-26,Duobam,Eden of the East the Movie II: Paradise Lost (Higashi no Eden Gekijôban II: Paradise Lost),"Opioid use, unspecified with oth opioid-induced disorder",49349-205,
558,2016-12-15,Lotlux,Ethan Mao,"Other premature separation of placenta, first trimester",41190-337,
810,2017-04-23,Fixflex,Double Indemnity,"Corrosion of second degree of right elbow, subs encntr",43063-417,250258
571,2015-02-05,Cardify,"Ciao, Professore! (Io speriamo che me la cavo)",Burn of second degree of unspecified elbow,0093-7383,
202,2018-12-21,Y-Solowarm,Red Line 7000,"Non-follic lymphoma, unsp, nodes of axilla and upper limb",43857-0194,441-3603
17,2018-07-13,Keylex,The Last Gladiators,"Disp fx of head of unsp rad, 7thQ",67510-0665,
506,2020-10-15,Cardguard,Russian Roulette,Pulmonary mucormycosis,0268-1192,
982,2018-06-09,Bitwolf,Do You Wanna Know a Secret?,Malignant neoplasm of scapula and long bones of upper limb,55301-063,
252,2019-08-21,Tempsoft,588 Rue Paradis (Mother),"Toxic effect of phosphorus and its compounds, assault, init",24385-388,3311
540,2015-02-01,Voltsillam,OT: Our Town,"Open bite of right ring finger w/o damage to nail, sequela",27808-002,
325,2017-04-01,Quo Lux,Felon,"Subluxation of distal radioulnar joint of right wrist, init",54569-2545,
309,2020-05-08,Opela,Mud,"Laceration of muscle, fascia and tendon of unspecified hip",65162-219,677903
72,2019-11-01,Kanlam,"Bedford Incident, The",Primary blast injury of unspecified ear,49738-594,
772,2020-10-03,Otcom,What If,"Displaced bicondylar fracture of unsp tibia, init",52644-001,613648
494,2019-03-07,Cardguard,Norman,Pedl cyc driver injured in clsn w oth and unsp mv nontraf,57627-109,T1V
769,2020-09-09,Otcom,Won Ton Ton: The Dog Who Saved Hollywood,Strain of extensor musc/fasc/tend thumb at wrs/hnd lv,0268-0100,
969,2016-10-19,Fix San,Jönssonligans största kupp,Lateral dislocation of right patella,49035-891,561 53
781,2016-05-15,Asoka,"Caiman, The (Il caimano)","Ped on foot injured pick-up truck, pk-up/van in traf, init",0472-0094,
775,2016-11-28,Rank,Stand and Deliver,"Inj cutan sensory nerve at ank/ft level, right leg, subs",54868-6072,5409
398,2018-11-27,Tempsoft,Mann tut was Mann kann,Unspecified open wound of anus,66116-415,5712
63,2020-07-23,Pannier,Millennium,"War op involving explosion of guided missile, milt, subs",50577-0001,
78,2020-11-25,Sonsing,33 Scenes from Life (33 sceny z zycia),Unspecified physeal fracture of lower end of femur,42211-202,30815
447,2020-07-12,Fix San,Premature,"Stress fracture, left tibia, initial encounter for fracture",0006-5420,6417
767,2018-07-09,Toughjoyfax,Folks!,"Effusion, right hand",48951-9011,
259,2016-02-01,Alphazap,Blue Jasmine,"Ped on foot injured in collision w pedl cyc in traf, subs",64980-111,3606
353,2018-08-05,Duobam,Beyond the Rocks,Cephalospor/oth beta-lactm antibiotics,63629-5250,
420,2019-09-15,Kanlam,Wife! Be Like a Rose! (Tsuma yo bara no yo ni),Laceration without foreign body of unspecified breast,50484-325,
410,2020-06-01,Solarbreeze,"September Issue, The","Toxic effect of contact w unsp venomous animal, acc, subs",51141-0301,249275
186,2020-05-24,Andalax,Gates of Heaven,"Puncture wound with foreign body of unsp forearm, sequela",63736-051,
847,2017-11-18,Redhold,"Peace, Love & Misunderstanding","Unspecified effects of lightning, initial encounter",48951-3146,612269
165,2017-04-30,Pannier,Is Paris Burning? (Paris brûle-t-il?),"Mtrcy passenger injured in clsn w 2/3-whl mv in traf, init",64942-1195,
919,2019-06-19,Subin,"Godson, The","Disruption of internal operation (surgical) wound, NEC, init",41163-119,9018
974,2019-07-28,Fix San,"Pride and the Passion, The","Displaced oth extraarticular fracture of r calcaneus, init",60429-242,87390-000
742,2015-07-12,Tresom,Crippled Avengers (Can que) (Return of the 5 Deadly Venoms),"Unspecified open wound of unspecified part of head, sequela",57520-0236,24515
759,2015-06-10,Bamity,Kull the Conqueror,"Sltr-haris Type I physl fx upr end rad, l arm, 7thP",49825-724,3070-085
440,2017-06-17,Trippledex,Master of the Flying Guillotine (Du bi quan wang da po xue di zi),Other fracture of upper end of unspecified radius,76485-1024,
309,2016-05-12,Sub-Ex,"King of Texas, The","Other ossification of muscle, unspecified thigh",0781-1972,
431,2019-03-21,Temp,Rat King,Other reduction defects of left upper limb,59321-055,
426,2018-06-14,Lotstring,Clubland (a.k.a. Introducing the Dwights),"Path fx in neopltc disease, r shldr, subs for fx w malunion",10096-0243,
510,2020-03-21,Biodex,"Music Man, The",Infection of incontinent external stoma of urinary tract,0591-3223,
1000,2016-06-26,Bigtax,Cropsey,"Corrosion of unspecified degree of left ear, init encntr",52125-807,
673,2018-03-28,Vagram,"Streetcar Named Desire, A","Nondisp fx of dist phalanx of unsp great toe, 7thD",61957-1103,455-0054
896,2015-02-26,Voltsillam,Powers of Ten,"Occup of 3-whl mv inj in clsn w rail trn/veh nontraf, subs",60949-170,3418
836,2019-10-27,Fintone,And Then There Were None,"Unspecified injury of axillary or brachial vein, left side",33261-396,182670
85,2020-01-16,Zontrax,If I Were You,"Complete traumatic MCP amputation of r idx fngr, sequela",41163-115,533 50
104,2020-03-08,Voltsillam,God's Gun,"Other fracture of shaft of unspecified ulna, sequela",15377-006,
114,2020-02-07,Keylex,Angels with Dirty Faces,"Lacerat extn musc/fasc/tend r lit fngr at wrs/hnd lv, sqla",13537-250,4755-192
245,2019-11-14,Flexidy,Rust and Bone (De rouille et d'os),"Heat edema, sequela",68382-228,1054
512,2016-03-07,Gembucket,Thawing Out (La fonte des neiges) ,Lacerat extensor musc/fasc/tend l mid finger at forarm lv,46708-211,5043
244,2017-05-06,Rank,Fear[s] of the Dark (Peur[s] du noir),"Unspecified injury of femoral artery, left leg, init encntr",76282-210,
812,2019-05-04,Opela,Corner Gas: The Movie,"Pathological fracture, left ulna, init encntr for fracture",33261-623,
114,2016-04-09,Duobam,"Covenant, The","Acute embolism and thrombosis of int jugular vein, bilateral",54569-1555,06-450
808,2016-01-05,Fintone,Remember Sunday,Diab d/t undrl cond w mild nonprlf diab rtnop w mclr edema,25336-5563,
736,2018-07-20,Lotstring,Albert Nobbs,Worries,0228-2269,76905
914,2020-10-15,Mat Lam Tam,Princess Tam-Tam (Princesse Tam-Tam),Unspecified open wound of unspecified breast,0378-0001,
887,2015-01-09,Zaam-Dox,"Girl in the Park, The","Displ unsp condyle fx low end unsp femr, 7thE",43857-0029,
630,2016-01-02,Asoka,Cattle Queen of Montana,"Drown due to being washed overboard from inflatbl crft, init",0113-0272,
986,2015-04-18,Tres-Zap,"Woman in the Window, The",Other abnormality of red blood cells,11344-663,
73,2015-07-26,Fix San,Blood Work,"Fused fingers, left hand",22700-145,4815-075
174,2015-10-30,Y-Solowarm,"Taking of Pelham One Two Three, The",Malignant neoplasm of base of tongue,55289-354,417 61
271,2015-02-02,Kanlam,Stolen (Stolen Lives),"LeFort I fracture, subs encntr for fracture with nonunion",60760-223,3950
560,2016-01-20,Mat Lam Tam,Mein Kampf,"Oth disp fx of base of 1st MC bone, unsp hand, 7thP",55154-1391,
318,2015-01-27,Bamity,Cape Fear,"Idiopathic chronic gout, hand",36800-506,
169,2020-06-01,Bigtax,Contact,"Lac w fb of unsp external genital organs, female, init",76472-1150,
709,2020-04-01,Veribet,Billu,Inclusion body myositis [IBM],66715-9844,419-0125
959,2020-10-02,Overhold,"Silent Scream, The","Other superficial bite of lip, subsequent encounter",0832-0708,
110,2019-11-15,Mat Lam Tam,An Alligator Named Daisy,"Congenital absence, atresia and stenosis of anus w/o fistula",49288-0413,
723,2015-10-11,Pannier,Chains (Catene),Incontinence without sensory awareness,52389-627,
480,2017-11-01,Viva,"Enemy of the People, An","Osteochondropathy, unspecified, right thigh",53808-1037,
129,2016-07-28,Y-find,Tokyo Twilight (Tôkyô boshoku),"Displ spiral fx shaft of l tibia, 7thN",0093-7316,
317,2020-05-21,Span,Snowball Effect: The Story of 'Clerks',"Toxic effect of rodenticides, assault, initial encounter",57520-0443,652250
454,2017-08-03,Stronghold,Zen Noir,"Poisoning by oth antidysrhythmic drugs, accidental, init",0517-2020,612412
356,2016-09-11,Cookley,Tidal Wave,Nonspecific reactive hepatitis,43063-371,3122
126,2018-04-08,Sonair,Fateless (Sorstalanság),Other specified myotonic disorders,0024-2794,
528,2017-08-17,Daltfresh,Lady Chatterley,"Pressure ulcer of other site, stage 2",54799-535,
544,2015-02-11,Stringtough,"Zone, The (La Zona)","Mtrcy pasngr injured in nonclsn trnsp acc nontraf, sequela",21130-053,
6,2020-03-25,Cardguard,Starsky & Hutch,Other specified injuries of abdomen,35356-643,58865-000
398,2018-01-18,Greenlam,Grateful Dead,Dysphasia following nontraumatic intracerebral hemorrhage,50563-148,
25,2015-07-04,Job,Plaza Suite,"Malar fracture, left side",68084-499,385741
470,2020-03-01,Stronghold,New Police Story (Xin jing cha gu shi),"Filariasis, unspecified",0113-0029,11606
927,2015-08-01,Bamity,Save Me,Propionic acid derivatives,55289-947,
842,2016-03-15,Flexidy,"Good Evening, Mr. Wallenberg (God afton, Herr Wallenberg)","Toxic effect of aflatoxin, assault, sequela",0456-3414,
981,2016-12-10,Viva,"Extraordinary Adventures of Mr. West in the Land of the Bolsheviks, The (Neobychainye priklyucheniya mistera Vesta v strane bolshevikov)",Encounter for examination of eyes and vision,0268-1436,
341,2018-06-04,Bytecard,Interview with a Hitman,Dissection of carotid artery,52685-315,
284,2020-06-01,Greenlam,College,"Oth disp fx of seventh cervical vertebra, init for opn fx",25237-0013,
965,2015-02-15,Alpha,Santa Sangre,"Inj lesser saphenous vein at lower leg level, unsp leg",36987-1084,73-132
298,2018-05-04,Opela,"King Is Dead!, The","Echinococcus multilocularis infection, other sites",52797-020,
533,2019-10-20,Aerified,Divine Horsemen: The Living Gods of Haiti,Presence of unspecified artificial knee joint,49349-310,581 86
93,2015-10-20,Quo Lux,Die Another Day,Other disorders of puberty,16252-527,
369,2016-10-24,Zontrax,Good Old Daze (Le péril jeune),Laceration without foreign body of forearm,45861-006,88130-000
789,2018-09-17,Fintone,Father of the Bride Part II,"Unsp injury of muscle, fascia and tendon of lower back",63868-159,
289,2015-02-22,Trippledex,Northfork,"Melanoma in situ of left lower limb, including hip",16590-437,
436,2020-09-09,Mat Lam Tam,"Human Factor, The","Toxic effect of sulfur dioxide, undetermined, subs encntr",65862-536,
632,2018-12-09,Viva,Edison Force (a.k.a. Edison),"Burn of second degree of left forearm, sequela",36987-2922,36005
60,2015-11-07,Alpha,Miss Pettigrew Lives for a Day,Complete traumatic amputation at level betw knee and ankle,51079-782,9410
505,2020-04-03,Aerified,"Assignment, The","Fx unsp tarsal bone(s) of right foot, subs for fx w malunion",49999-767,
828,2020-06-27,Biodex,"Girlfriends, The (Le amiche)",Other hair color and hair shaft abnormalities,16477-811,
960,2018-04-15,Cardguard,Fail Safe,"Displacement of int fix of left humerus, sequela",48951-4036,
662,2020-06-19,Overhold,Voodoo Tiger,Acute hematogenous osteomyelitis,64942-1124,76680-000
851,2015-09-14,Biodex,Reach the Rock,"Sprain of metatarsophalangeal joint of right great toe, init",49967-556,
503,2017-12-03,Bigtax,Even Money,"Disp fx of prox phalanx of r great toe, 7thK",55714-4440,663974
908,2020-04-29,Treeflex,Pigs with a P.38,Occup of hv veh injured in collision w unsp mv nontraf,0363-6170,
338,2015-10-07,Job,"I Love, You Love (Ja milujem, ty milujes)","Poisoning by pyrazolone derivatives, assault, subs encntr",59779-043,
178,2018-11-17,Cardguard,"Five Wives, Three Secretaries and Me","Inj blood vessel of left middle finger, subs encntr",53329-821,93300-000
593,2016-03-20,Sub-Ex,Prom Queen: The Marc Hall Story,"Burn first deg mult sites of right shldr/up lmb, ex wrs/hnd",43547-332,35530
968,2020-05-19,Ventosanzap,"Second Civil War, The","Sltr-haris Type II physl fx lower end humer, right arm, init",65862-288,J7Z
204,2019-06-15,Tempsoft,Shaun of the Dead,"Poisoning by unsp agents aff the GI sys, assault, sequela",58118-7147,
621,2020-01-11,Kanlam,Mickey's Twice Upon a Christmas,"Nondisp fx of ant wall of l acetab, subs for fx w delay heal",43617-3415,
599,2017-04-02,Treeflex,Surf's Up,Glaucoma secondary to drugs,55154-2032,
361,2016-04-12,Zoolab,Up Periscope,"Brown's sheath syndrome, left eye",76049-122,293 35
100,2020-11-13,Sonsing,"Big Bad Swim, The","Inj oth muscle(s) and tendon(s) at lower leg level, unsp leg",50563-131,1200
168,2018-06-01,Flowdesk,As I Lay Dying,"4-part fx surg neck of unsp humer, subs for fx w delay heal",0781-5654,73-140
997,2019-03-20,Otcom,Secret Honor,"Sublux of proximal interphaln joint of r mid finger, sequela",64117-134,
207,2015-09-27,Konklab,Bachelor Party,Non-pressure chronic ulcer of right ankle w necrosis of bone,37000-706,
512,2017-12-20,Stim,Blow-Out (La grande bouffe),"Driver of pk-up/van inj in clsn w 2/3-whl mv nontraf, subs",52654-0001,
729,2016-12-16,Zamit,Beneath the 12-Mile Reef,Chronic frontal sinusitis,54868-5126,606084
839,2017-12-28,Viva,Closer to the Moon,"Smith's fracture of left radius, subs for clos fx w malunion",50914-7732,
220,2015-07-11,Konklab,"Kid, The","Disp fx of l tibial tuberosity, 7thG",47335-175,
211,2018-05-30,Keylex,"Man in the White Suit, The","Cervical shortening, unspecified trimester",0781-3140,
94,2015-04-12,Bitchip,Copying Beethoven,"Displ seg fx shaft of unsp tibia, 7thK",65954-041,
406,2016-01-12,Temp,Animal Room,Postmastectomy lymphedema syndrome,49035-205,
920,2017-05-15,Domainer,Frenchmen (Le coeur des hommes),Episodic cluster headache,50114-8006,
857,2019-09-25,Tresom,Eureka (Yurîka),"Superficial foreign body of left forearm, sequela",54973-0624,
335,2018-10-29,Matsoft,King David,"Insect bite (nonvenomous) of unsp back wall of thorax, init",11410-009,
